idx,Entity
1,Aadi
8,Alice
11,Amber
13,Aryan
14,Ava
18,Cathy
27,Emily
79,Jack
80,James
81,Jane
86,Jenny
87,Jill
88,John
98,Kate
100,Kelsey
102,Linda
103,Mark
105,Mary
107,Mike
108,Olivia
126,Samantha
129,Sara
130,Sarah
133,Sophia
137,Sue
139,TV
149,Vicky
155,a
158,academic performance
159,accident
160,accidents
165,activities
166,activity
168,addiction
175,air
177,always
189,appreciation
202,assignments
217,baking
219,basketball
222,beach
225,bear
230,bill
231,birds
247,book
251,break
252,breakfast
253,breaks
256,breathlessness
257,brother
259,burger
260,bus
261,bush
267,cab
268,cake
276,car
280,cardiovascular exercise
282,care
284,case
294,caution
297,certainty
300,chance
304,chirping
305,choice
307,choices
317,club
319,college
320,college lectures
324,commitment
329,company
333,completion
355,consequences
361,consumption
370,cooking
377,creation
379,crime
386,dancing
393,dedication
398,dependency
401,dessert
402,destination
414,diligent
415,dinner
418,diseases
422,distractions
431,driving
440,effort
441,efforts
442,electricity
443,elevator
451,endeavors
454,energy
455,energy levels
460,environment
473,exams
486,exhaustion
488,expenses
489,experience
495,fact
500,family
509,feelings
510,feelings of exhaustion
514,financial savings
516,fine
518,fire
520,fitness
526,flower
531,food
538,fresh
539,fresh air
541,fridge
543,friend
544,friends
547,fruits
551,fun
554,funds
555,gain
556,game
557,games
559,garden
561,generator
565,global warming
572,grade
573,grades
577,grow
578,growth
582,gym
583,gym routine
585,habits
587,harm
592,health
594,health consequences
596,health issues
597,health outcomes
599,health status
608,help
622,hours
623,house
629,hydration
648,increase
651,individual
668,intention
673,internet
676,investigation
677,investment
678,investment purposes
688,jogging
689,journey
697,knowledge
701,late
706,learn
709,lecture
710,lectures
711,leisure
716,letter
719,library
726,lights
728,limit
736,longer
738,lunch
740,mall
742,marathon
746,meal
751,meditation
771,movie
772,movies
787,neglects
809,option
812,options
813,organic
814,organic food
824,outdoors
833,painting
834,parents
835,park
839,participation
845,penalty
847,performance
851,person
858,phone
860,physical
864,physical exercise
869,physical strength
870,picnic
871,picture
873,plant
874,planting
876,play
877,playing
878,pleasure
881,police
886,possibilities
887,possibility
913,processed food
916,productivity
926,public transportation
930,punctuality
931,purchase
933,purpose
937,race
940,reading
950,reckless driving
951,recklessly
960,regular
968,rejuvenation
972,relaxation
979,response
980,responsibilities
984,result
985,results
986,retail therapy
989,revitalized
990,reward
992,risk
1001,routine
1004,run
1005,running
1006,safely
1007,safety
1008,salad
1010,sand
1011,sandwich
1013,satisfaction
1014,scenario
1018,scenarios
1028,seaside
1041,shopping
1042,shopping center
1046,sibling
1050,situation
1055,skills
1058,sleep
1064,smoothie
1072,someone
1073,sound sleep
1075,speed
1082,sports
1083,stairs
1084,stamina
1087,statement
1096,statements
1103,story
1105,strength
1106,stress
1109,stroll
1111,students
1112,studies
1116,studying
1121,sugar
1122,sugar consumption
1123,sugar crash
1127,sunset
1135,tan
1138,tasks
1143,television
1148,test
1166,ticket
1168,time
1172,tired
1180,train
1184,transportation
1185,transportation expenses
1186,tree
1187,trees
1188,truth
1190,truth value
1195,uncertainty
1197,unhealthy
1198,unhealthy food
1207,vehicle
1210,video games
1211,visit
1214,walk
1220,water
1230,weight
1231,weight gain
1239,work
1241,workplace
1243,writer
1244,writing
