Entity1,Relation,Entity2
Jane,cause-and-effect,hydration
Jane,cause-and-effect,sugar crash
Jack,engages in,cardiovascular exercise
Jack,goes for a run,cardiovascular exercise
cardiovascular exercise,improves,energy levels
cardiovascular exercise,has a positive impact on,energy levels
cardiovascular exercise,is beneficial for,energy levels
cardiovascular exercise,is beneficial for,energy levels
cardiovascular exercise,is beneficial for,energy levels
cardiovascular exercise,is beneficial for,energy levels
cardiovascular exercise,is beneficial for,energy levels
cardiovascular exercise,is beneficial for,energy levels
cardiovascular exercise,is beneficial for,energy levels
cardiovascular exercise,is beneficial for,energy levels
cardiovascular exercise,is beneficial for,energy levels
cardiovascular exercise,is beneficial for,energy levels
Mike,takes a break,tasks
Olivia,takes,bus
Olivia,takes,cab
unhealthy food,leads to,weight gain
unhealthy food,is high in,sugar
gym routine,has a protective effect against,weight gain
sugar,is high in,unhealthy food
gym routine,has a positive effect on,physical strength
gym routine,has a negative effect on,weight gain
unhealthy food,has a negative effect on,physical strength
unhealthy food,has a positive effect on,weight gain
gym routine,contributes to,physical strength
unhealthy food,leads to,weight gain
John,has,phone
John,turned off,phone
John,keeps on,phone
phone,distractions,increase
distractions,impact,productivity
phone,notifications,distractions
distractions,reduce,productivity
John,turned off,phone
writer,turned off,phone
productivity,relationship,distractions
distractions,relationship,productivity
environment,is affected by,global warming
Vicky,plays,video games
video games,causes,stress
meditation,reduces,stress
meditation,leads to,relaxation
Vicky,plays,video games
video games,counteracts,relaxation
meditation,counteracts,stress
work,leads to,exhaustion
breaks,prevent,exhaustion
Vicky,takes,breaks
Vicky,does not take,breaks
John,works,hours
John,takes,breaks
breaks,can,energy
John,does not take,breaks
John,takes,breaks
breaks,can,help
John,does not take,breaks
John,takes,breaks
breaks,can,help
Ava,takes,elevator
Ava,chooses,elevator
elevator,eliminates,breathlessness
individual,experiences,breathlessness
Mark,takes care of,health
diseases,can be caused by,accidents
health issues,can be caused by,accidents
accidents,can cause,health issues
diseases,can be caused by,accidents
health issues,can be caused by,accidents
health issues,can be caused by,diseases
accidents,can cause,health issues
diseases,can be caused by,accidents
health issues,can be caused by,accidents
health issues,can be caused by,diseases
accidents,can cause,health issues
diseases,can be caused by,accidents
health issues,can be caused by,accidents
health issues,can be caused by,diseases
health,is related to,diseases
knowledge,impacts,health
habits,impacts,health
choice,impacts,health
neglects,leads to,health issues
activities,impact,health status
Mark,neglects,health
John,consumes,processed food
John,does not eat,organic food
John,consumes,processed food
John,consumes,organic food
Amber,does not stay up,late
John,stores,food
Alice,drives,recklessly
Alice,receives,ticket
Alice,drives,safely
vehicle,is affected by,reckless driving
ticket,is related to,reckless driving
journey,is affected by,reckless driving
Alice,drives recklessly,ticket
John,is engaged in,painting
John,is engaged in,writing
John,will frame,picture
John,will publish,story
painting,is mutually exclusive with,writing
John,has a relationship with,picture
John,has a relationship with,story
John,has a relationship with,writing
John,has a relationship with,painting
John,has a relationship with,scenario
John,has a relationship with,activity
John,has a relationship with,scenario
John,has a relationship with,activity
John,has a relationship with,scenario
John,has a relationship with,activity
John,has a relationship with,scenario
John,has a relationship with,activity
John,has a relationship with,scenario
John,has a relationship with,activity
John,has a relationship with,scenario
John,has a relationship with,activity
John,has a relationship with,scenario
John,has a relationship with,activity
John,has a relationship with,scenario
John,has a relationship with,activity
John,has a relationship with,scenario
John,has a relationship with,activity
John,has a relationship with,scenario
John,has a relationship with,activity
John,has a relationship with,scenario
John,has a relationship with,activity
John,has a relationship with,scenario
John,has a relationship with,activity
John,has a relationship with,scenario
John,has a relationship with,activity
John,has a relationship with,scenario
John,has a relationship with,activity
John,has a relationship with,scenario
John,has a relationship with,activity
