idx,Entity
1,000
2,1/3
3,15th century
4,16th Century
5,18th century
6,19th century
7,Academy Sports + Outdoors
8,Accessibility
9,Adversarial dynamic
10,Africa
11,African souks
12,Al D'Amato
13,Alaska
14,Albert Einstein
15,Album
16,Ali
17,Allie Hamilton
18,Alternative Style
19,Amazon
20,Amazon rainforest
21,Ambiguity
22,America
23,American Dream
24,American culture
25,American football
26,Americas
27,Amy Tan
28,Anatomy
29,Angle
30,Animal welfare
31,Antarctica
32,Antiques
33,Architecture
34,Aristotle
35,Arizona
36,Arthur C. Clarke
37,Artistry
38,Asia
39,Asian night markets
40,Assets
41,Astrolabe
42,Astronomy
43,Atherosclerosis
44,Atlantic Ocean
45,Australia
46,Australian Broadcasting Corporation
47,Avoidance
48,BBC
49,Balance
50,Balcony
51,Ball
52,Banner
53,Beads
54,Beer
55,Billy
56,Black Holes
57,Blood Vessel
58,Bob
59,Bobby
60,Body Part
61,Bordeaux
62,Brain
63,Brazil
64,Britishness
65,Buddhist concept
66,Buddhist perspective
67,Building
68,Bullet
69,Bullet Trajectory
70,Burgundy
71,Bush administration
72,Business
73,COVID-19
74,Caliber
75,California
76,Callitrichidae
77,Cannon
78,Career Advancement
79,Caribbean
80,Carl Fredricksen
81,Carotid Artery
82,Cathedrals
83,Cats
84,Celsius
85,Central America
86,Cerebellum
87,Champagne
88,China
89,Christian worship
90,Christianity
91,Christmas
92,Christmas vacation
93,Chronometer
94,Churches
95,Circumstances
96,Clock
97,Cognitive Function
98,Cognitive Perspective
99,Coin Collection
100,Collector
101,Colombia
102,Colorado River
103,Comfort
104,Committee
105,Community
106,Community Centers
107,Community Identity
108,Concert
109,Conflict
110,Conservation
111,Context
112,Contract
113,Coordination
114,Craft Project
115,Critical Acclaim
116,Cultural identity
117,Current Biology
118,Custody
119,Customer
120,Dan
121,Daughters
122,Decoration
123,Della
124,Design
125,Dick's Sporting Goods
126,Distance
127,Divine
128,Divorce
129,Dog
130,Dr. Hanay Leithold
131,Earth
132,Ecological perspective
133,Education
134,Educational Perspective
135,Electromagnetic Radiation
136,Emotional distress
137,Emotions
138,Employment
139,EndNote
140,England
141,English
142,English language
143,Entry Wounds
144,Escapism
145,Ethics
146,Europe
147,Everyday objects
148,Exit Wounds
149,Eye
150,Eyepiece
151,FOMO
152,Face
153,Factory
154,Fahrenheit
155,Family
156,Family secrets
157,Family ties
158,Fan Base
159,Ficus
160,Financial Gains
161,Flag
162,Folklore
163,Forearm Bones
164,Foreign Relations
165,Forelimb
166,Forensic Analysis
167,Forests
168,Forever Florals
169,Formicidae
170,Frankenstein
171,Franklin Institute
172,French Guiana
173,Functions
174,G-type main-sequence star
175,Gardening
176,General Relativity
177,Germany
178,Gift
179,Giles Gilbert Scott
180,God
181,Golden Age of Piracy
182,Goods
183,Gothic architecture
184,Grand Canyon
185,Gravitational Waves
186,Great Barrier Reef
187,Greece
188,Greek
189,Green thumb
190,Gulf of California
191,Guyana
192,Hanay Leithold
193,Harry
194,Hawaii
195,Hawaiian Islands
196,Head
197,Here are the entities extracted from the given text
198,Here are the extracted entities from the given text
199,Here are the extracted entities from the text
200,Here's a list of extracted entities from the given text
201,Here's the list of extracted entities in the given text
202,Himalayas
203,Hindlimb
204,Historical Remembrance
205,Home
206,Home Alone
207,Hospital
208,Human Knowledge
209,Human Life
210,Humerus
211,Humvee
212,Icarus
213,Identification
214,Idiomatic Expression
215,Illinois
216,Immigrant experience
217,Independence
218,Indian Ocean
219,Indie-Folk
220,Industrial Revolution
221,Intent
222,Iraqgate scandal
223,Italy
224,James
225,Japan
226,Jean-Michel Basquiat
227,Jennifer
228,Jennifer's desire
229,Jewelry
230,Jim
231,Jing-mei
232,Joe
233,John
234,Journal
235,Journal of Herpetology
236,Jupiter
237,Kevin McCallister
238,Knowledge Acquisition
239,Kuiper belt objects
240,LIGO
241,Lantern
242,Laser Interferometer Gravitational-Wave Observatory
243,Latin
244,Laws
245,Lawsuit
246,Lena
247,Letter
248,Liar Paradox
249,Lilly
250,Limbs
251,Lindo Jong
252,Lock
253,London
254,Los Angeles
255,Maasai Mara National Reserve
256,Maintenance
257,Mammals
258,Map
259,Markets
260,Marriage
261,Mars
262,Marv
263,Mary Shelley
264,Master Recordings
265,Max Ringelmann
266,McCallister family
267,Medical Advancements
268,Medical Facility
269,Medical Malpractice
270,Medical Procedures
271,Memorial Plaque
272,Merchandise
273,Mercury
274,Mexico
275,Microscope
276,Middle Ages
277,Middle East
278,Milky Way galaxy
279,Mongolian steppes
280,Monkeys
281,Monuments
282,Mosques
283,Mothers
284,Mountains
285,Movement
286,Mural
287,Music Event
288,Music Festival
289,Mustelidae
290,NBA
291,NPR
292,Narrative
293,National Geographic
294,National Pride
295,Native American tribes
296,Nature
297,Navier-Stokes equations
298,Neo-Expressionist
299,Neptune
300,Nevada
301,New World
302,New York City
303,Nicholas Sparks
304,Noah Calhoun
305,Noise Levels
306,North American continent
307,Novel
308,O. Henry
309,Ocular Examination
310,Ocular Inspection
311,Ocular Observation
312,Ocular View
313,Ocular Vision
314,Office
315,Opportunities
316,Oregon
317,Orion Arm
318,Ornaments
319,PTSD
320,Pacific
321,Pacific Northwest
322,Pacific Ocean
323,Painting
324,Paris
325,Parks
326,Partnership
327,Payment
328,Pennsylvania
329,People
330,Perpetrator
331,Personal Growth
332,Personal Growth Perspective
333,Personal identity
334,Pests
335,Philadelphia
336,Philosophy
337,Physiology
338,Pirate
339,Pirate Artifact
340,Pixar
341,Plants
342,Plaque
343,Plato
344,Popularity
345,Primate populations
346,Primate sanctuary
347,Print
348,Private homes
349,Professional Context
350,Prolonging Life
351,Public Art
352,Radius
353,Reality
354,Reception Area
355,Recovery
356,Recreation
357,Red Sea
358,Regulations
359,Relationship
360,Research institutions
361,Revenue
362,Rivers
363,Romantic relationship
364,Routers
365,STEM fields
366,Sacred Spaces
367,Sally
368,Sam
369,Sarah
370,Saturn
371,Scapula
372,Science
373,Scientific perspective
374,Scooter Braun
375,Scott Borchetta
376,Sculpture
377,Seating
378,Senate
379,Serengeti National Park
380,Services
381,Seth
382,Sextant
383,Shaquille O'Neal
384,Ship's Figurehead
385,Ship's Wheel
386,Shoulder Blade
387,Sierra Nevada
388,Sign
389,Signage
390,Skill Development
391,Skull
392,Smithsonian Institution
393,Social perspective
394,Society
395,Solitude
396,Sorites Paradox
397,South America
398,Southeast Asia
399,Southeastern United States
400,Southern Ocean
401,Southern United States
402,Space
403,Spain
404,Sporting goods store
405,Sports
406,Spousal support
407,Spouse
408,Squirrel
409,Stoic perspective
410,Stoic philosophy
411,Storage
412,Store
413,Story
414,Straight
415,Stress
416,Stroke
417,Studying
418,Sun
419,Support
420,Surgery
421,Suriname
422,"Suyuan ""Joy"" Wang"
423,Synagogues
424,Target
425,Taylor Swift
426,Telephone
427,Telescope
428,Temples
429,The Giant Heart
430,The Giant Heart Balloon
431,The Gift of the Magi
432,The Joy Luck Club
433,The Notebook
434,Tickets
435,Time
436,Tokyo
437,"Toys ""R"" Us"
438,Transmission lines
439,Treasure Chest
440,Treatment
441,UVB lighting
442,Ulna
443,United Kingdom
444,United States
445,Universe
446,University of Queensland
447,University of Western Australia
448,Up
449,Upper Arm Bone
450,Uranus
451,Venezuela
452,Venus
453,Victor Frankenstein
454,Violence
455,Visibility
456,Waiting Room
457,Walmart
458,Washington
459,Water
460,Waverly
461,Western culture
462,Western philosophy
463,Wikipedia
464,Wildlife sanctuaries
465,Wind
466,Wind Chime
467,Winnetka
468,Wooden Box
469,Word
470,Workplace
471,Wreath
472,Xenophon
473,Zoos
474,Zotero
475,abandoned building
476,abandonment
477,abstract art
478,academic journals
479,accessibility
480,accessory
481,accidents
482,accountability
483,activities
484,activity
485,adaptation
486,adolescents
487,adversarial process
488,advertisements
489,advertising
490,aesthetics
491,affluence
492,after-school program
493,aggression
494,agility
495,agreement
496,agricultural products
497,air pockets
498,air travel
499,air-conditioned store
500,airbags
501,aircraft
502,airplanes
503,alfil
504,allegiance
505,allergens
506,almonds
507,ambiance
508,ambition
509,analysis
510,anatomy
511,ancient civilizations
512,ancient marketplaces
513,ancient organisms
514,angels
515,anger
516,animal carcasses
517,animal shelter
518,animals
519,anniversary
520,anthers
521,anthropology
522,anticipation
523,antitrust laws
524,ants
525,anxiety
526,aorta
527,apartment
528,apparel
529,appearance
530,appetite
531,appetizers
532,apple pie
533,apple tree
534,apple variety
535,apples
536,appliances
537,appreciation
538,archaeology
539,armored personnel carriers
540,arms
541,arrangement
542,art
543,arteries
544,arterioles
545,artists
546,arts and crafts
547,arts area
548,assembly lines
549,assignment requirements
550,asteroids
551,athlete
552,athletic performance
553,athletics
554,atmosphere
555,attachment
556,attention
557,attention deficit hyperactivity disorder
558,attic
559,authenticity
560,authorities
561,authority
562,autism spectrum disorder
563,automobiles
564,awe
565,backpack
566,bacteria
567,badgers
568,bag
569,balance
570,ball
571,balloons
572,bar
573,barbecue
574,barber shop
575,barbers
576,baseball
577,baseline
578,basement
579,basketball
580,bathtub
581,bats
582,batter
583,batteries
584,bazaars
585,beach
586,beachside resort town
587,beauty
588,bed
589,bedroom
590,beds
591,beekeeping
592,bees
593,behavior
594,behavioral changes
595,behavioral perspective
596,belonging
597,belt
598,belt attachment
599,beneficial insects
600,benefits
601,beverages
602,bike
603,billboard
604,biodiversity
605,biodynamic wines
606,biological perspective
607,biological samples
608,biologist
609,biology
610,bipedalism
611,bird
612,birds
613,birthday
614,birthday party
615,birthdays
616,bishop
617,blade
618,bladed weapons
619,blankets
620,blood
621,blood pressure
622,blossoms
623,blueberries
624,board
625,boats
626,body
627,body language
628,body of water
629,bond
630,bonding
631,bonds
632,bones
633,book
634,books
635,borderline personality disorder
636,boredom
637,boss
638,boundaries
639,bouquet
640,brain
641,brake fluid
642,brake pads
643,brake rotors
644,braking system
645,brand
646,breakfast
647,breeding programs
648,bruises
649,budget
650,building
651,burnout
652,burrows
653,bus
654,business
655,business climates
656,businesses
657,but I have listed them separately as they appear in the text
658,butterflies
659,butterfly
660,buttons
661,buying a house
662,cables
663,cafe
664,calories
665,camels
666,campsite
667,candle
668,candlelit dinners
669,candles
670,capillaries
671,capitalism
672,car
673,carbon dioxide
674,carbon footprint
675,card
676,cardiovascular disease
677,cardiovascular health
678,cardiovascular system
679,care
680,caregivers
681,carnation
682,carnivorous mammals
683,carpeting
684,carpets
685,case
686,cash
687,cash crops
688,casserole
689,casual gathering
690,cat
691,cat shelves
692,cat trees
693,caterpillar
694,catharsis
695,cats
696,cattle ranches
697,causality
698,celebration
699,cell
700,cell phones
701,cellulose
702,center
703,centuries
704,century
705,challenges
706,change
707,character
708,characters
709,charity run
710,chefs
711,chemical signals
712,chemicals
713,chess
714,child
715,childcare providers
716,childhood
717,children
718,chili-spiced
719,chip
720,chocolate
721,chocolate cake
722,choirs
723,chore
724,chronic pain
725,chrysanthemum
726,churches
727,cicuta
728,cinnamon
729,circulatory system
730,citation management tools
731,citations
732,cities
733,citrus
734,city
735,civilizations
736,class
737,classroom
738,claws
739,cleanliness
740,clients
741,climate
742,climate change
743,climate dynamics
744,climate-controlled storage unit
745,climates
746,closure
747,clothes
748,clownfish
749,clutch
750,coaches
751,coast
752,coastal areas
753,coastal development
754,coastal town
755,coastline
756,cockroaches
757,code
758,cognitive
759,cognitive abilities
760,cognitive development
761,cognitive dissonance
762,cognitive error
763,cognitive function
764,cognitive functioning
765,cognitive perspective
766,cognitive profile
767,collector
768,college campus
769,colonies
770,color
771,colors
772,combination
773,combs
774,combustion
775,comets
776,comfort
777,commerce
778,commercial establishment
779,commercial transactions
780,commercial transportation services
781,common ground
782,communication
783,communication systems
784,communities
785,community
786,community center
787,community centers
788,community markets
789,community radio stations
790,competition
791,complex information
792,complexity
793,complications
794,compromise
795,computer science
796,computer scientist
797,concentration
798,concept
799,concert hall
800,concert halls
801,concerts
802,concierge
803,conclusions
804,concussions
805,confidence
806,conflict
807,conflicts
808,connection
809,connections
810,conscience
811,consciousness
812,conservation
813,considering the output format you requested
814,consolidation
815,construction site
816,consumer
817,consumer behavior
818,consumer culture
819,consumer protection regulations
820,contact
821,container
822,contemplation
823,context
824,continent
825,contradictions
826,control
827,convenience
828,convenience markup
829,conversation
830,conversations
831,conviction
832,cooperation
833,coordination
834,coping mechanism
835,coral reefs
836,corners
837,cosmic phenomena
838,cost
839,costume
840,cotton
841,counseling session
842,country
843,couples
844,courage
845,court
846,court of law
847,court proceedings
848,cover cropping
849,cow farms
850,cozy blankets
851,crabs
852,creative thinking
853,crime rates
854,crime scene
855,crimes
856,critical thinking
857,criticism
858,crop rotation
859,crops
860,crystal
861,culinary
862,cultivation
863,cultural background
864,cultural context
865,cultural perspective
866,culture
867,cultures
868,curiosity
869,customers
870,customs
871,cuts
872,daily routines
873,dairy farms
874,damage
875,damages
876,dance
877,dance class
878,dawn
879,day
880,daycare centers
881,deadline
882,death
883,decision
884,decorative glasses
885,defensive prowess
886,deforestation
887,dehydration
888,delegate
889,dens
890,density
891,department
892,depression
893,desert
894,design
895,designated hunting area
896,desk
897,despair
898,dessert
899,dessert tray
900,desserts
901,detector
902,detergent
903,development
904,device
905,devotion
906,diagnosis
907,dialogue
908,diaphragm
909,digital media
910,dilemma
911,disagreements
912,disappointment
913,discipline
914,discomfort
915,discounts
916,disease transmission
917,diseases
918,disempowerment
919,dishwasher
920,display
921,display cases
922,disputes
923,diversity
924,divine being
925,doctor
926,doctors
927,dog
928,door
929,doors
