Entity1,Relation,Entity2
narrator,instructs,person
person,has,obligation
person,has,conflict
person,has,circumstances
person,has,knowledge
person,has,skills
person,has,expertise
person,has,authority
person,is guided by,mentorship
person,is taught by,teaching
person,receives guidance from,guidance
person,is in a relationship with,relationship
person,has,money
person,has,risk
person,has,chance
person,has,stakes
person,has,consequences
person,has,event
person,has,passage
narrator,has,attitude
narrator,has,disposition
narrator,has,outlook
narrator,has,tone
narrator,has,perspective
narrator,has,standard
narrator,has,excellence
narrator,has,superiority
Harry,has,windfall
Harry,has,cash
Harry,has,expenses
Harry,has,financial difficulties
Harry,has,income
Wheeeeeee,is associated with,road closures
mother,has,yell
mother,has,children
mother,has,behavior
mother,has,discipline
mother,has,misbehavior
mother,has,incident
credit cards,has,go bye-bye
credit cards,has,before
person,is perplexed by,Olympics
person,has,attitude
person,has,disposition
person,has,outlook
person,has,tone
person,has,perspective
person,has,standard
person,has,excellence
person,has,superiority
Harry,has,job
Harry,has,location
Harry,has,circumstances
Harry,has,conflict
Harry,has,obligation
Harry,has,knowledge
Harry,has,skills
Harry,has,expertise
Harry,has,authority
Harry,is guided by,mentorship
Harry,is taught by,teaching
Harry,is in a relationship with,relationship
Harry,has,money
Harry,has,risk
Harry,has,chance
Harry,has,stakes
Harry,has,consequences
Harry,has,event
Harry,has,passage
narrator,has,best
narrator,has,hobby
narrator,has,profession
narrator,has,work
narrator,has,enjoyment
narrator,has,interest
narrator,has,character
narrator,has,main character
narrator,has,protagonist
narrator,has,story
narrator,has,text
narrator,has,narrative
narrator,has,description
narrator,has,context
narrator,has,passage
narrator,has,writing
mother,has,time
mother,has,sequence
mother,has,events
credit cards,has,digital payment technologies
credit cards,has,consumer behavior
credit cards,has,financial regulations
Olympics,has,athletes
Olympics,has,sports
Olympics,has,history
Olympics,has,culture
person,has,perplexed
person,has,confused
person,has,individual
person,has,perspective
person,has,reaction
Hillary Clinton,Reference,experience
Hillary Clinton,Reference,win
Hillary Clinton,Reference,First Lady
Hillary Clinton,Reference,Senator
Hillary Clinton,Reference,Secretary of State
Hillary Clinton,Reference,presidency
Hillary Clinton,Reference,election
Hillary Clinton,Reference,campaign
Hillary Clinton,Reference,public perception
Hillary,Reference,experience
Hillary,Reference,win
Hillary,Reference,First Lady
Hillary,Reference,Senator
Hillary,Reference,Secretary of State
Hillary,Reference,presidency
Hillary,Reference,election
Hillary,Reference,campaign
Hillary,Reference,public perception
Frodo,Reference,win
Frodo,Reference,experience
Frodo,Reference,Lord of the Rings
Frodo,Reference,Lord of the Rings series
Frodo,Reference,J.R.R. Tolkien
Frodo,Reference,J.R.R. Tolkien's
J.R.R. Tolkien,Reference,Lord of the Rings
J.R.R. Tolkien,Reference,Lord of the Rings series
experience,Reference,win
experience,Reference,skills
experience,Reference,knowledge
experience,Reference,wisdom
win,Reference,election
win,Reference,competition
feel,Reference,decision
feel,Reference,emotions
feel,Reference,intuition
feel,Reference,empathy
feel,Reference,introspection
feel,Reference,self-awareness
How,Reference,may
How,Reference,I
How,Reference,be
How,Reference,feeling
How,Reference,now
I,Reference,be
I,Reference,feeling
I,Reference,now
speaker,Reference,play
speaker,Reference,large audience
speaker,Reference,performance
play,Reference,large audience
play,Reference,performance
large audience,Reference,performance
religion,Reference,narrator
religion,Reference,beliefs
religion,Reference,practices
narrator,Reference,religion
narrator,Reference,sluggish
narrator,Reference,appear
Arwen,Reference,show
Arwen,Reference,Lord of the Rings
Arwen,Reference,J.R.R. Tolkien's
Arwen,Reference,series
show,Reference,Arwen
show,Reference,Lord of the Rings
show,Reference,J.R.R. Tolkien's
what,Reference,you
what,Reference,did
what,Reference,got
what,Reference,home
you,Reference,did
you,Reference,got
you,Reference,home
did,Reference,got
did,Reference,home
got,Reference,home
speaker,Reference,fact
speaker,Reference,information
speaker,Reference,statement
speaker,Reference,assertion
fact,Reference,speaker
man,Reference,grabbed
man,Reference,arm
man,Reference,forceful
man,Reference,body part
man,Reference,shoulder
man,Reference,hand
grabbed,Reference,arm
grabbed,Reference,man
arm,Reference,man
arm,Reference,body part
arm,Reference,shoulder
arm,Reference,hand
Lord of the Rings,Reference,Frodo
Lord of the Rings,Reference,J.R.R. Tolkien
Lord of the Rings,Reference,series
Lord of the Rings series,Reference,Frodo
Lord of the Rings series,Reference,J.R.R. Tolkien
J.R.R. Tolkien,Reference,Lord of the Rings
J.R.R. Tolkien,Reference,Lord of the Rings series
Hillary Clinton,Reference,United States
Hillary Clinton,Reference,Senate
Hillary Clinton,Reference,President
Hillary Clinton,Reference,election
Hillary Clinton,Reference,competition
Hillary Clinton,Reference,music
Hillary Clinton,Reference,cosplay
Hillary Clinton,Reference,activities
Hillary Clinton,Reference,skills
Hillary Clinton,Reference,knowledge
Hillary Clinton,Reference,wisdom
Hillary Clinton,Reference,qualifications
Hillary Clinton,Reference,position
Hillary Clinton,Reference,First Lady
Hillary Clinton,Reference,Senator
Hillary Clinton,Reference,Secretary of State
Hillary Clinton,Reference,presidency
Hillary Clinton,Reference,campaign
Hillary Clinton,Reference,public perception
Hillary Clinton,Reference,emotions
Hillary Clinton,Reference,intuition
Hillary Clinton,Reference,empathy
Hillary Clinton,Reference,introspection
Hillary Clinton,Reference,self-awareness
Hillary Clinton,Reference,presentation
Hillary Clinton,Reference,lecture
Hillary Clinton,Reference,performance
Hillary Clinton,Reference,group
Hillary Clinton,Reference,people
Hillary Clinton,Reference,drama
Hillary Clinton,Reference,actors
Hillary Clinton,Reference,stage
Hillary Clinton,Reference,performance
Hillary Clinton,Reference,event
Hillary Clinton,Reference,theatrical
Hillary Clinton,Reference,well-attended
Hillary Clinton,Reference,well-received
Hillary Clinton,Reference,beliefs
Hillary Clinton,Reference,practices
Hillary Clinton,Reference,rituals
Hillary Clinton,Reference,worship
Hillary Clinton,Reference,higher power
Hillary Clinton,Reference,powers
Hillary Clinton,Reference,story
Hillary Clinton,Reference,character
Hillary Clinton,Reference,perspective
Hillary Clinton,Reference,written
Hillary Clinton,Reference,oral
Hillary Clinton,Reference,thoughts
Hillary Clinton,Reference,character
Hillary Clinton,Reference,context
Hillary Clinton,Reference,J.R.R. Tolkien's
Hillary Clinton,Reference,series
Hillary Clinton,Reference,fantasy
Hillary Clinton,Reference,theme
Hillary Clinton,Reference,TV
Hillary Clinton,Reference,film
Hillary Clinton,Reference,adaptation
Hillary Clinton,Reference,fiction
Hillary Clinton,Reference,residence
Hillary Clinton,Reference,dwelling
Hillary Clinton,Reference,person
Hillary Clinton,Reference,communication
Hillary Clinton,Reference,thoughts
Hillary Clinton,Reference,opinions
Hillary Clinton,Reference,information
Hillary Clinton,Reference,statement
Hillary Clinton,Reference,assertion
Hillary Clinton,Reference,evidence
Hillary Clinton,Reference,observation
Hillary Clinton,Reference,character
Hillary Clinton,Reference,trait
Hillary Clinton,Reference,attribute
Hillary Clinton,Reference,human being
Hillary Clinton,Reference,adult male
Hillary Clinton,Reference,forceful
Hillary Clinton,Reference,body part
Hillary Clinton,Reference,shoulder
Hillary Clinton,Reference,hand
Hillary Clinton,Reference,situation
Hillary Clinton,Reference,speaker
Hillary Clinton,Reference,fact
Hillary Clinton,Reference,man
Hillary Clinton,Reference,grabbed
Hillary Clinton,Reference,arm
Hillary Clinton,Reference,forceful
Hillary Clinton,Reference,body part
Hillary Clinton,Reference,shoulder
Hillary Clinton,Reference,hand
Hillary Clinton,Reference,situation
Hillary Clinton,Reference,speaker
Hillary Clinton,Reference,fact
Hillary Clinton,Reference,man
Hillary Clinton,Reference,grabbed
Hillary Clinton,Reference,arm
Hillary Clinton,Reference,forceful
Hillary Clinton,Reference,body part
Hillary Clinton,Reference,shoulder
Hillary Clinton,Reference,hand
Hillary Clinton,Reference,situation
Hillary Clinton,Reference,speaker
Hillary Clinton,Reference,fact
Hillary Clinton,Reference,man
Hillary Clinton,Reference,grabbed
Hillary Clinton,Reference,arm
Hillary Clinton,Reference,forceful
Hillary Clinton,Reference,body part
Hillary Clinton,Reference,shoulder
Hillary Clinton,Reference,hand
Hillary Clinton,Reference,situation
Hillary Clinton,Reference,speaker
Hillary Clinton,Reference,fact
Hillary Clinton,Reference,man
Hillary Clinton,Reference,grabbed
Hillary Clinton,Reference,arm
Hillary Clinton,Reference,forceful
Hillary Clinton,Reference,body part
Hillary Clinton,Reference,shoulder
Hillary Clinton,Reference,hand
Hillary Clinton,Reference,situation
Hillary Clinton,Reference,speaker
Hillary Clinton,Reference,fact
Hillary Clinton,Reference,man
Hillary Clinton,Reference,grabbed
Hillary Clinton,Reference,arm
Hillary Clinton,Reference,forceful
Hillary Clinton,Reference,body part
Hillary Clinton,Reference,shoulder
Hillary Clinton,Reference,hand
Hillary Clinton,Reference,situation
Hillary Clinton,Reference,speaker
Hillary Clinton,Reference,fact
Hillary Clinton,Reference,man
Hillary Clinton,Reference,grabbed
Hillary Clinton,Reference,arm
Hillary Clinton,Reference,forceful
Hillary Clinton,Reference,body part
Hillary Clinton,Reference,shoulder
Hillary Clinton,Reference,hand
Hillary Clinton,Reference,situation
Hillary Clinton,Reference,speaker
Hillary Clinton,Reference,fact
Hillary Clinton,Reference,man
Hillary Clinton,Reference,grabbed
Hillary Clinton,Reference,arm
Hillary Clinton,Reference,forceful
Hillary Clinton,Reference,body part
Hillary Clinton,Reference,shoulder
