idx,Entity
1,$1.6 billion
2,$102 million
3,$103 million
4,$2.7 billion
5,$41.5 billion
6,$461B
7,$47 million
8,$73 million
9,$90 million
10,*1977
11,+
12,000
13,000 Enemies
14,000 feet
15,000 metres
16,1
17,1 April 1995
18,1 November
19,1 October 2012
20,1. FC Köln
21,10
22,10 June
23,105 kilometers
24,106 days
25,10k
26,10th
27,10th & Wolf
28,10th Street Entertainment
29,11 January 2001
30,11 hours and 5 minutes
31,114th United States Congress
32,12
33,12 December 1931
34,12 January
35,12 June
36,12 Years a Slave
37,1212 Main Street
38,12th
39,12th Street
40,12th Street Riot
41,12th Street riot
42,13
43,13 December 1991
44,13 March 1929
45,14
46,14 August 1939
47,14 August 2017
48,14 September
49,1433
50,1440
51,1450
52,1453 AD
53,1461
54,1477
55,1492
56,14th
57,15
58,15 June 2012
59,15 May 1567
60,15 May 1987
61,1500 metres
62,1513
63,1525
64,1534
65,1536
66,1540
67,1554
68,1563
69,1567
70,1587
71,159
72,159.02
73,1591
74,15K road race
75,16 August 1993
76,16 U.S.C
77,160 mph
78,1600 Modified Saloons
79,1609
80,1625
81,1640
82,1645
83,1696
84,17
85,1710
86,1737
87,1742
88,1765
89,1766
90,1767
91,1768
92,1770
93,1775
94,1782
95,1792
96,1792 Whiskey
97,17th century
98,18
99,18 February 1982
100,18 June 1942
101,18 March 1991
102,18 March 1994
103,18 May
104,18 West Michigan Avenue
105,180 AD
106,1806
107,1810-20
108,1812
109,1815
110,1817
111,1818
112,1820s
113,1822
114,1824
115,1828
116,1831
117,1833
118,1843
119,1844
120,1852
121,1853
122,1854
123,1855
124,1857
125,1858
126,1861
127,1862
128,1863
129,1864
130,1865
131,1867
132,1869
133,1870s
134,1871
135,1872
136,1873
137,1874
138,1876
139,1877
140,1879
141,187th Tank Brigade
142,1880
143,1882
144,1884
145,1886
146,1888
147,1889
148,1890
149,1892
150,1893
151,1895
152,1896
153,1897
154,1898
155,1899
156,18th century
157,19 December 1971
158,19.9
159,1900
160,1901
161,1902
162,1903
163,1904
164,1904 Summer Olympics
165,1905
166,1906
167,1907
168,1908
169,1908 Games
170,1909
171,1910
172,1911
173,1912
174,1915
175,1916
176,1918
177,1919
178,1920
179,1921
180,1921–22
181,1922
182,1922 – May 22
183,1923
184,1924
185,1925
186,19253
187,1926
188,1927
189,1928
190,1929
191,1930
192,1931
193,1932
194,1932 Olympic Organizing Committee
195,1933
196,1934
197,1935
198,1936
199,1936 Games
200,1937
201,1938
202,1939
203,1940
204,1940s
205,1941
206,1942
207,1943
208,1944
209,1945
210,1946
211,1947
212,1947 Constitution of Myanmar
213,1948
214,1948 Attorney General of the Union Act
215,1948 venue
216,1949
217,1950
218,1950s
219,1951
220,1952
221,1953
222,1954
223,1955
224,1956
225,1957
226,1958
