idx,Entity
1,Christopher Columbus
2, Atlantic Ocean
3, North America
4, South America
5, Christopher Columbus
6, 1492
7, Santa Maria
8, Pinta
9, Niña
10, Guanahani
11, Columbus' journal
12, Vita del Ammiraglio
13, Pleitos colombinos
14, Columbus Day
15, Americas
16, Ferdinand Columbus
17, United States
18, Día de la Raza
19, Latin America
20, Día de la Hispanidad
21, Spain
22, la Virgen del Pilar
23, Belize
24, Uruguay
25, Día del Respeto a la Diversidad Cultural
26, Argentina
27, Giornata Nazionale di Cristoforo Colombo
28, Festa Nazionale di Cristoforo Colombo
29, Italy
30, Little Italys
31, Columbus Monument
32, Monument a Colom
33, Monumento a Colón
34, Mirador de Colón
35, La Rambla
36, Barcelona
37, Catalonia
38, Exposición Universal de Barcelona
39, Queen Isabella I
40, King Ferdinand V
41, Latin music
42, Christopher Columbus
43, Americas
44, Spanish colonization
45, Women
46, Native Americans
47, Indigenous communities
48, Inca Empire
49, ceramic
50, animal-bone
51, cane flutes
52, Ethnomusicologists
53, European settlers
54, patriarchal
55, machismo
56, savagery
57, civilization
58, African slaves
59, slave trade
60, syncopated rhythms
61, call-and-response
62, harmony
63, Spanish décima song form
64, William Hogarth
65, Columbus Breaking the Egg
66, The Analysis of Beauty
67, The Egg of Columbus
68, Europe
69, Americas
70, Christopher Columbus
71,Christopher Columbus
72, Hogarth
73, Americas
74, New World
75," ""The Analysis of Beauty"""
76, uovo di Colombo
77, Italy
78, Christopher Columbus
79, Americas
80, Christopher Columbus
81, North American continent
82, Leif Ericson
83, World War I
84, Walt Whitman
85," ""Prayer of Columbus"""
86, European powers
87, Viking
88, Leif Ericson
89, North American continent
90, World War I
91, West Point
92, military college
93, officer
94, officer cadet
95, military branch
96, officer
97, commanding position
98, James H. Doolittle Award
99, Society of Experimental Test Pilots
100, aerospace technology
101, General James Doolittle
102, Doolittle Raid
103, Tokyo
104, World War II
105, perpetual trophy
106, SETP headquarters
107, General James Doolittle
108, army
109, Latin
110, Old French
111, nation
112, state
113, air force
114, aviation corps
115, Jonna Doolittle Hoppes
116, American
117, oral histories
118, biographies
119, Palos de la Frontera
120, Isabella I of Castile
121, Spain
122, Bartolomé de las Casas
123, Columbus
124, journal
125, Catholic Monarchs
126, Columbus
127, journal
128, Columbus
129, Isabella I of Castile
130, Spain
131, Bartolomé de las Casas
132, Columbus
133, journal
134, Catholic Monarchs
135, Columbus
136, Isabella I of Castile
137, Spain
138, Bartolomé de las Casas
139, Columbus
140, journal
141, Catholic Monarchs
142, Columbus
143, Isabella I of Castile
144, Spain
145, Bartolomé de las Casas
146, Columbus
147, journal
148, Catholic Monarchs
149, Columbus
150, Isabella I of Castile
151, Spain
152, Bartolomé de las Casas
153, Columbus
154, journal
155, Catholic Monarchs
156, Columbus
157, Isabella I of Castile
158, Spain
159, Bartolomé de las Casas
160, Columbus
161, journal
162, Catholic Monarchs
163, Columbus
164, Isabella I of Castile
165, Spain
166, Bartolomé de las Casas
167, Columbus
168, journal
169, Catholic Monarchs
170, Columbus
171, Isabella I of Castile
172, Spain
173, Bartolomé de las Casas
174, Columbus
175, journal
176, Catholic Monarchs
177, Columbus
178, Isabella I of Castile
179, Spain
180, Bartolomé de las Casas
181, Columbus
182, journal
183, Catholic Monarchs
184, Columbus
185, Isabella I of Castile
186, Spain
187, Bartolomé de las Casas
188, Columbus
189, journal
190, Catholic Monarchs
191, Columbus
192, Isabella I of Castile
193, Spain
194, Bartolomé de las Casas
195, Columbus
196, journal
197, Catholic Monarchs
198, Columbus
199, Isabella I of Castile
200, Spain
201, Bartolomé de las Casas
202, Columbus
203, journal
204, Catholic Monarchs
205, Columbus
206, Isabella I of Castile
207, Spain
208, Bartolomé de las Casas
209, Columbus
210, journal
211, Catholic Monarchs
212, Columbus
213, Isabella I of Castile
214, Spain
215, Bartolomé de las Casas
216, Columbus
217, journal
218, Catholic Monarchs
