Entity1,Relation,Entity2
"Drink to That) 
18. Cheers (Drink to That)",features,"Rihanna 
19. Cheers (Drink to That"
Drink to That),features,"Jermaine Jackson 
21. Cheers (Drink to That"
Drink to That),features,"LP 
23. Cheers (Drink to That"
Drink to That),features,"Chris Ivery 
25. Cheers (Drink to That"
Drink to That),features,"Graham Edwards 
27. Cheers (Drink to That"
Drink to That),features,"Scott Spock 
29. Cheers (Drink to That"
"MEP)
4. 3rd Baronet",Owns,"Dundas Castle
5. 3rd Baronet, Represented, European Parliament
6. 3rd Baronet, Is, Sir John ""Jack"" Stewart-Clark
7. Sir John ""Jack"" Stewart-Clark, Is, British businessman
8. Sir John ""Jack"" Stewart-Clark, Is, Member of the European Parliament (MEP"
"IncSoc)
3. Elspeth Champcommunal",was the first editor,"Vogue
4. Elspeth Champcommunal, was a founder member, Incorporated Society of London Fashion Designers (IncSoc"
"FAA)
8. Richard H. Johnson",Member,"U.S. Soaring Hall of Fame
9. Richard H. Johnson, Pilot, Gliders
10. Richard H. Johnson, Pilot, Sailplanes
11. Richard H. Johnson, Aeronautical Engineer
12. Richard H. Johnson, Writer, Gliding Magazines
13. Richard H. Johnson, Pilot, U.S. National Soaring Team
14. Richard H. Johnson, World Record Holder, Gliding
15. Doris Grove, Member, U.S. Soaring Hall of Fame
16. Doris Grove, Pilot, Gliders
17. Doris Grove, Flight Instructor
18. Doris Grove, Pioneer, Ridge-and-valley Appalachians
19. Doris Grove, Pilot, Sailplanes
20. Doris Grove, Stunt Co-Pilot, The Thomas Crown Affair
21. Doris Grove, World Record Holder, Gliding
22. George B. Moffat Jr., Member, U.S. Soaring Hall of Fame
23. George B. Moffat Jr., Pilot, Gliders
24. George B. Moffat Jr., Pilot, Sailplanes
25. George B. Moffat Jr., Pilot, International 14 foot Dinghy
26. George B. Moffat Jr., Author
27. George B. Moffat Jr., World Champion, Glider Pilot
28. John McTiernan, Director, The Thomas Crown Affair
29. Pierce Brosnan, Actor, The Thomas Crown Affair
30. Rene Russo, Actor, The Thomas Crown Affair
31. Denis Leary, Actor, The Thomas Crown Affair
32. British Fashion Council, Affiliated with, Rah-rah skirt
33. Federal Aviation Administration (FAA"
FAA),Employer,"Thomas L. Knauff
35. Federal Aviation Administration (FAA"
FAA),Employer,"Doris Grove
37. Federal Aviation Administration (FAA"
FAA),Issuer,"Pilot Certificate
39. Federal Aviation Administration (FAA"
FAA),Issuer,"Temporary Airman Certificate
41. Federal Aviation Administration (FAA"
"FAA)
49. DUATS",User,"Thomas L. Knauff
50. DUATS, User, Richard H. Johnson
51. DUATS, User, Doris Grove
52. DUATS, User, George B. Moffat Jr.
53. National Airspace System (NAS"
NADIN-II),Interface,"DUATS
55. Weather Message Switching Center Replacement (WMSCR"
"1983–2008)
2. Madonna",is the artist of,"MDNA
3. Madonna, is released by, Warner Bros. Records
4. Warner Bros. Records, released, The Complete Studio Albums (1983–2008"
"1983–2008)
6. Madonna",is the artist of,"Erotica
7. Madonna, is the artist of, American Life
8. Warner Bros. Records, released, Chrome, Smoke & BBQ
9. ZZ Top, is the artist of, Chrome, Smoke & BBQ
10. ZZ Top, is released by, Warner Bros. Records
11. ZZ Top, is the artist of, Rancho Texicano
12. ZZ Top, is the artist of, Tres Hombres
13. ZZ Top, is the artist of, Fandango
14. ZZ Top, is the artist of, Rio Grande Mud
15. ZZ Top, is the artist of, Tejas
16. ZZ Top, is the artist of, The Best of ZZ Top
17. Warner Bros. Records, released, The Complete Studio Albums 1970-1990
18. ZZ Top, is included in, The Complete Studio Albums 1970-1990
19. Dream Theater, is the artist of, The Studio Albums 1992–2011
20. Roadrunner, released, The Studio Albums 1992–2011
21. Dream Theater, is the artist of, When Dream and Day Unite
22. Dream Theater, is the artist of, The Studio Albums 1992–2011
23. Brian Patrick Carroll, is known as, Buckethead
24. Buckethead, is an American musician
25. Buckethead, is the artist of, A3
26. Buckethead, has released, 300 studio albums
27. Buckethead, has released, 4 special releases
28. Buckethead, has released, 1 extended play
29. Buckethead, has released, 5 demo tapes
30. Buckethead, has released, 3 solo DVD video releases
31. Buckethead, has released, 2 DVD video releases with Cornbugs
32. Buckethead, has released, 3 music videos
33. Buckethead, has released, 3 unreleased albums
34. Buckethead, has released, 3 solo videography releases
35. Buckethead, has released, 16 videography releases with other artists
36. Buckethead, has released, 6 studio efforts under the anagram of Death Cube K
37. Buckethead, has released, 74 works with other bands and artists
38. Buckethead, has released, 378 studio albums, special releases, extended plays, demo tapes, and works with other bands and projects
39. Buckethead, has guest appearances, 97
40. Buckethead, has videography releases, 19
41. Buckethead, is involved with, 475 different album projects
42. Radiohead, is the artist of, Radiohead Box Set
43. Roadrunner, released, Radiohead Box Set
44. Radiohead, is released by, Roadrunner
45. Cornbugs, is a band collaborated with, Buckethead
46. Death Cube K, is an anagram of, Buckethead
47. Canada, is the country where, Radiohead Box Set peaked at #95 in the album charts
48. May, is the birth month of, Brian Patrick Carroll
49. 1969, is the birth year of, Brian Patrick Carroll
50. July, is the release month of, The Studio Albums 1992–2011
51. 2014, is the release year of, The Studio Albums 1992–2011
52. March, is the release month of, The Complete Studio Albums (1983–2008"
"1983–2008)
54. December",is the release month of,"Radiohead Box Set
55. 2007, is the release year of, Radiohead Box Set
56. Europe, is the region where, The Complete Studio Albums (1983–2008"
"Pete Waterman Limited)
46. Stock Aitken Waterman",Produced,PWL (Pete Waterman Limited
Turkey,shelters,Free Syrian Army
Turkey,offers,safe zone
Turkey,offers,base of operations
Turkey,provides,arms
Turkey,provides,military equipment
Saudi Arabia,provides,arms
Saudi Arabia,provides,military equipment
Qatar,provides,arms
Qatar,provides,military equipment
Syria,has,"conflict with, Turkey"
Syria,shoots down,Turkish fighter jet
Turkey,has,"conflict with, Syria"
David Lewis Gifford,is a soldier in,American Civil War
David Lewis Gifford,receives,Medal of Honor
David Lewis Gifford,serves in,"Company B, 4th Massachusetts Volunteer Cavalry"
David Lewis Gifford,serves in,U.S. Army
U.S. Army,awards,"Medal of Honor, David Lewis Gifford"
Thomas Orville Seaver,is a soldier in,American Civil War
Thomas Orville Seaver,receives,Medal of Honor
