Entity1,Relation,Entity2
Turkey,shelters,Free Syrian Army
David Lewis Gifford,is a soldier in,American Civil War
David Lewis Gifford,receives,Medal of Honor
David Lewis Gifford,serves in,U.S. Army
Thomas Orville Seaver,is a soldier in,American Civil War
Thomas Orville Seaver,receives,Medal of Honor
Thomas Orville Seaver,serves in,U.S. Army
Katie Louise Volding,is a,actress
Katie Louise Volding,is nominated for,Young Artist Award
Katie Louise Volding,performs in,Smart House
Smart House,is a,Disney Channel Original Movie
Ryan Merriman,is a,actor
Ryan Merriman,performs in,Smart House
Home automation,is related to,smart home
Home automation,is related to,smart house
Ryan Earl Merriman,is an,actor
Irene Balogh Smart,is a,politician
Irene Balogh Smart,is a member of,Ohio General Assembly
Irene Balogh Smart,is a graduate of,Wittenberg University
Irene Balogh Smart,is a graduate of,Harvard University
Irene Balogh Smart,is a graduate of,William McKinley School of Law
Irene Balogh Smart,defeats,Ross Heintzelman
Birmingham,located_in,Alabama
Birmingham,uses,Josephson junctions
Josephson junctions,used_in,RSFQ
ERSFQ,is_a_family_of,RSFQ
University of Alabama,employed,"James Marcus ""Lindy"" Hood"
University of Alabama,had_player,"James Marcus ""Lindy"" Hood"
"James Marcus ""Lindy"" Hood",was_player_for,University of Alabama
Nicolas Mahut,played_with,Sergiy Stakhovsky
Nicolas Mahut,lost_to,Jonathan Erlich
Nicolas Mahut,lost_to,Rajeev Ram
Elena Olegovna Bovina,born_in,Russia
Elena Olegovna Bovina,reached_ranking,World No
Elena Olegovna Bovina,defeated,Clarisa Fernández
Elena Olegovna Bovina,defeated,Jelena Dokic
Elena Olegovna Bovina,defeated,Stéphanie Foretz
Elena Olegovna Bovina,defeated,Francesca Schiavone
Elena Olegovna Bovina,lost_to,Lindsay Davenport
Sonchat Ratiwatana,born_in,Bangkok
Sonchat Ratiwatana,beat,Michaël Llodra
Sonchat Ratiwatana,beat,Nicolas Mahut
Sonchat Ratiwatana,played_at,Australian Open
Sonchat Ratiwatana,lost_to,Arnaud Clément
Sonchat Ratiwatana,lost_to,Michaël Llodra
Nicolas Mahut,born_in,France
Nicolas Mahut,beat,Michaël Llodra
Nicolas Mahut,beat,Jonathan Erlich
Nicolas Mahut,beat,Rajeev Ram
Nicolas Mahut,played_at,Australian Open
Nicolas Mahut,lost_to,Arnaud Clément
Nicolas Mahut,lost_to,Michaël Llodra
John Robert Isner,born_on,April 26
John Robert Isner,won_title,US Open
John Robert Isner,won_title,Wimbledon
John Robert Isner,played_at,ATP World Tour
Town of Carrabassett Valley,owns,Sugarloaf Regional Airport
Elizabeth City Regional Airport,located in,Pasquotank County
Elizabeth City Regional Airport,located near,Pasquotank River
Crater Lake–Klamath Regional Airport,owned by,Klamath County
Mecklenburg County Park and Recreation,operates,Ray's Splash Planet
Mecklenburg County,funds,Ray's Splash Planet
Johnson & Wales University,near,Ray's Splash Planet
Charlotte-Mecklenburg Schools,partner of,Mecklenburg County Park and Recreation
Mecklenburg County Park and Recreation,partner of,Charlotte-Mecklenburg Schools
Carowinds,competitor of,Ray's Splash Planet
Great Wolf Lodge,competitor of,Ray's Splash Planet
Wet 'n Wild Emerald Pointe,competitor of,Ray's Splash Planet
Ocean Water Park,located in,Kish Island
Ocean Water Park,located in,Iran
Thallon,located_in,Queensland
Merimbula,located_on,Merimbula Lake
Merimbula,located_in,New South Wales
Merimbula,located_in,Far South Coast
Merimbula,located_in,Sapphire Coast
Steph Amair,named,Merimbula
Blueys Beach,located_in,Pacific Palms
Blueys Beach,located_in,New South Wales
Boomerang Beach,located_in,New South Wales
Boomerang Beach,nearby,Blueys Beach
Elizabeth Beach,located_in,New South Wales
Elizabeth Beach,nearby,Blueys Beach
Civil Twilight,has_debut_album,Civil Twilight
Civil Twilight,released_in,South Africa
Civil Twilight,released_in,United States
Civil Twilight,released_in,United Kingdom
Civil Twilight,compared_to,U2
Civil Twilight,compared_to,Muse
Civil Twilight,compared_to,Radiohead
Civil Twilight,has_member,Steven McKellar
Civil Twilight,has_member,Andrew McKeller
Civil Twilight,has_member,Richard Wouters
Civil Twilight,has_member,Kevin Dailey
Deerhunter,formed_in,Atlanta
Deerhunter,has_album,Human
Deerhunter,has_member,Bradford Cox
Deerhunter,has_member,Moses Archuleta
Deerhunter,has_member,Lockett Pundt
Deerhunter,has_member,Josh McKay
Deerhunter,has_member,Javier Morales
Deerhunter,has_member,Rhasaan Manning
Civil Twilight,signed_to,Wind-up Records
Civil Twilight,released_album,Holy Weather
Civil Twilight,released_album,Story of an Immigrant
Gregory D. Hess,president,Wabash College
Wabash College,affiliated with,Caleb Mills
Caleb Mills,faculty member,Wabash College
Caleb Mills,educator,Wabash College
Caleb Mills,professor,Dartmouth College
Caleb Mills,professor,Andover Seminary
Caleb Mills,affiliated with,American Baptist Churches USA
Benjamin A. Rogge,economist,Wabash College
Benjamin A. Rogge,college administrator,Wabash College
Benjamin A. Rogge,speaker,Wabash College
Benjamin A. Rogge,advisor,Liberty Fund
Benjamin A. Rogge,trustee,Liberty Fund
Benjamin A. Rogge,A.B. degree,Hastings College
Benjamin A. Rogge,M.A. degree,University of Nebraska Lincoln
Pierre Goodrich,founder,Liberty Fund
Benjamin A. Rogge,trustee,Liberty Fund
Thomas Sowell,influenced by,Benjamin A. Rogge
Leonard Read,founder,Foundation for Economic Education
Leonard Read,successor,Benjamin A. Rogge
Benjamin A. Rogge,attended,Mont Pelerin Society
Benjamin A. Rogge,speaker series,Wabash College
Wabash College,speaker series,Benjamin A. Rogge
Benjamin A. Rogge,posthumous collection,A Maverick's Defense of Freedom
William H. Spaulding,football player,UCLA
Gentoo,uses,Portage
Arch,uses,Arch Build System
Crawfordsville,is located in,Indiana
Indiana,is located in,United States
Microsoft Small Business Financials,based on,Microsoft Dynamics GP
Microsoft Small Business Financials,runs on,Microsoft MSDE
Microsoft Small Business Financials,runs on,SQL Server Express
Microsoft Small Business Financials,is a part of,Microsoft Dynamics
Microsoft Dynamics,is a part of,Microsoft Business Solutions
Microsoft Small Business Financials,is a part of,Microsoft Dynamics GP
Open Systems Accounting Software,uses,Microsoft Windows
Open Systems Accounting Software,uses,Linux
Open Systems Accounting Software,uses,Mac OS X
Pristine Sources,is popularized by,Marc Ewing
Pristine Sources,is used by,Red Hat Linux
Pristine Sources,is used by,RPM Package Manager
Red Hat Linux,uses,RPM Package Manager
Red Hat Linux,is built by,Red Hat Inc
OpenBSD Cryptographic Framework,is part of,OpenBSD Project
OpenBSD Cryptographic Framework,is ported to,FreeBSD
OpenBSD Cryptographic Framework,is ported to,NetBSD
OpenBSD Cryptographic Framework,is ported to,Solaris
OpenBSD Cryptographic Framework,is ported to,Linux
OpenBSD Cryptographic Framework,is supported by,Intel
OpenBSD Cryptographic Framework,is used with,Apache HTTP Server
PHYLogeny Inference Package,consists of,C
PHYLogeny Inference Package,is released for,Windows
PHYLogeny Inference Package,is released for,Mac OS 8
PHYLogeny Inference Package,is released for,Mac OS 9
PHYLogeny Inference Package,is released for,OS X
PHYLogeny Inference Package,is released for,Linux
PHYLogeny Inference Package,is released for,Debian
PHYLogeny Inference Package,is released for,Red Hat
PHYLogeny Inference Package,is released for,FreeBSD
Nissan 350Z,is manufactured by,Nissan Motors
Nissan 350Z,is succeeded by,Nissan 370Z
Nissan NX,is produced by,Nissan Motors
Nissan NX,is an evolution of,Nissan Pulsar NX
Nissan NX,is an evolution of,Nissan EXA
Nissan NX,is an evolution of,Nissan Sunny Coupe
Nissan NX,is based on,Nissan B13
Nissan NX,is based on,Nissan N14
Void Linux,uses,Void Linux's Templates
Void Linux,uses,CRUX's Ports
Gentoo,uses,Gentoo's Portage
Arch,uses,Arch Build System
Arch Build System,is used by,Arch
Nissan 350Z,is known as,Nissan Fairlady Z
"Frederick John ""Fred"" Perry",won,Grand Slams
"Frederick John ""Fred"" Perry",won,Pro Slams
"Frederick John ""Fred"" Perry",won,single titles
"Frederick John ""Fred"" Perry",won,Major doubles titles
"Frederick John ""Fred"" Perry",won,Wimbledon Championships
"Frederick John ""Fred"" Perry",was,World No. 1
"Frederick John ""Fred"" Perry",last won the men's Wimbledon championship,1936
Sir Andrew Barron Murray,represents,Great Britain
Sir Andrew Barron Murray,won,Olympic champion
Sir Andrew Barron Murray,won,Davis Cup champion
Sir Andrew Barron Murray,won,ATP World Tour Finals
Sir Andrew Barron Murray,won,Brisbane International
Sir Andrew Barron Murray,defeated,Alexandr Dolgopolov
Sir Andrew Barron Murray,defeated,Novak Djokovic
Sir Andrew Barron Murray,defeated,Roger Federer
Sir Andrew Barron Murray,defeated,David Ferrer
Sir Andrew Barron Murray,lost to,Novak Djokovic
Sir Andrew Barron Murray,lost to,Roger Federer
Sir Andrew Barron Murray,lost to,David Ferrer
Sir Andrew Barron Murray,won,London Olympics
Sir Andrew Barron Murray,was defeated by,Novak Djokovic
Sir Andrew Barron Murray,was defeated by,Roger Federer
Sir Andrew Barron Murray,was defeated by,David Ferrer
