idx,Entity
17,Adam
19,Alexa
20,Alice
26,Anna
31,BMW
39,Bob
53,Chris
62,David
70,Duke
76,Emily
153,James
154,Jane
156,Jenny
160,Jill
164,John
170,Jorge
172,Juan
173,Judy
176,Karen
195,Lisa
209,Mercedes
210,Mike
212,Mohammed
214,Mona Lisa
219,Nobel Prize
241,Paris
258,Raju
263,Rest
276,Samantha
279,Sara
287,Sheba
288,Sheila
296,Spanish
299,Subjects
304,TV
308,The Beatles
314,United States
324,academic performance
326,accidents
332,anger
334,animals
335,anticipation
339,apples
342,arithmetic
346,assignments
350,attention
351,baking
354,bananas
355,bank
356,basketball
358,beach
363,beverages
365,birds
372,book
375,brain
377,break
378,breaks
381,breathlessness
383,burger
384,bus
385,bush
390,cab
391,caffeine
392,cake
393,cakes
394,canines
395,car
396,cardiovascular exercise
398,carpentry
399,carrots
402,cats
403,certification
404,chemistry
405,chess
409,club
411,coffee
413,cola
414,college
417,competition
420,conclusion
427,contemporary dance
428,context
432,cooking
433,cooking class
437,countryside
438,courses
440,creatures
441,crime
445,cycling
448,deadline
449,dean
452,degree
455,destination
456,diet
459,diseases
460,distance
461,distractions
462,dog
463,dogs
465,educators
466,effort
468,elephant
469,elephants
470,elevator
471,emotion
477,energy
478,energy levels
479,engineering
483,enthusiasm
484,environment
486,evening
487,exam
488,examination
489,exams
490,exception
491,excitement
492,exhaustion
496,fatigue
497,felines
498,field
500,finances
501,fine
503,fire brigade
505,flower
506,flowers
508,food
509,football
512,fridge
513,friends
514,fruit aisle
515,fruits
516,frustration
517,fun
518,funds
519,fur
521,game
522,garages
523,garden
526,giraffes
527,global warming
533,grade
534,grades
539,gym
540,gym sessions
543,happiness
545,headache
546,health
550,helmet
560,house
561,hunger
562,hydration
570,immune system
574,individual
575,indoors
576,infection
577,ingredients
578,injuries
579,injury
581,internet
586,job
587,jog
588,journey
589,joy
590,jungle
591,kites
592,knowledge
596,late
602,lecture
604,leisure time
607,library
609,life
610,lights
611,lion
613,living space
614,loss
615,lunch
616,mammals
617,mangoes
618,marathon
621,marriage
622,matrimony
623,meal
624,medication
630,mind
631,money
633,movement
634,movie
637,muscle fat
638,museum
639,music
664,oranges
666,outdoors
668,owner
670,painting
673,parents
674,park
676,passion
677,patterns
678,penalty
680,person
683,pet dog
684,phone
685,physical activity
690,physics
694,picnic
695,picture
698,points
699,police
700,policy
704,potatoes
705,prerequisite
708,prize
709,productivity
710,programming
711,project
712,promotion
714,race
716,reading
718,reading club
720,recognition
724,rejuvenation
726,relaxation
729,resources
730,response
731,rest
734,reward
735,rock
737,room
738,roses
740,run
741,runner
743,sadness
744,safety
745,salad
749,scenario
750,scholarship
751,school
754,shopping
755,shopping center
759,skills
760,skin
763,smoothie
769,soft drinks
773,spelling
777,sports
778,stairs
779,stamina
781,store
782,story
783,strength
784,stress
786,stroll
787,students
788,studying
791,sugar
792,summer camp
793,sun
795,sunscreen
798,supplies
800,swimming
807,tan
808,tasks
813,television
815,test
827,theatre
830,ticket
831,tigers
832,time
833,timeframe
834,tired
838,tomatoes
841,train
843,tranquility
844,transportation
847,tree
848,trees
850,tulips
852,understanding
854,vacation
856,vehicle
859,video games
860,violin
861,visibility
862,visits
868,water
873,website
874,weight
875,weight gain
879,wings
882,work
884,workplace
885,workshop
886,writer
888,yarn
892,zoos
