Entity1,Relation,Entity2
esophagus,is_involved_in,peristaltic wave
peristaltic wave,generates,occlusive pressure
occlusive pressure,varies,mmHg
occlusive wave,lasts,0.5 seconds
occlusive wave,subsides,1.5 seconds
sensory input,stimulates,parasympathetic outflow
parasympathetic outflow,activates,dorsal motor nucleus
dorsal motor nucleus,is_located_in,brainstem
dorsal motor nucleus,activates,vagal preganglionic neurons
vagal preganglionic neurons,are_part_of,vagus nerve
vagus nerve,activates,postganglionic motor neurons
postganglionic motor neurons,are_part_of,GI tract
GI tract,receives,salivary secretion
GI tract,receives,gastric acid secretion
GI tract,receives,pancreatic enzyme secretion
GI tract,receives,gallbladder contraction
GI tract,receives,sphincter of Oddi relaxation
salivary secretion,is_mediated_by,ninth cranial nerve
salivary secretion,is_mediated_by,vagus nerve
cephalic phase,is_similar_to,oral phase
oral phase,receives,mechanical stimuli
oral phase,receives,chemical stimuli
nuchal rigidity,is_associated_with,sixth cranial nerve palsy
MRI,is_normal,brain
lumbar puncture,reveals,WBC
lumbar puncture,reveals,eosinophils
lumbar puncture,reveals,protein
lumbar puncture,reveals,glucose
HIV test,"is_negative)
30. (TB skin test",is_negative
CSF cryptococcal antigen,"is_negative)
32. (CSF gram stain",is_negative
vancomycin,is_used_for,bacterial meningitis
ceftriaxone,is_used_for,bacterial meningitis
amphotericin B,is_used_for,fungal infections
azole drugs,are_used_for,fungal infections
echinocandins,are_used_for,fungal infections
hydrochlorothiazide,is_used_for,hypertension
lisinopril,is_used_for,hypertension
amoxicillin,is_allergic,patient
amoxicillin,is_used_for,bronchitis
penicillins,share_features,cephalosporins
penicillins,share_features,monobactams
penicillins,share_features,carbapenems
penicillins,share_features,β-lactamase inhibitors
penicillins,have_structure,β-lactam ring
β-lactam ring,has_structure,thiazolidine ring
β-lactam ring,has_structure,amino group
β-lactamase inhibitors,are_used_for,bacterial infections
meningococcemia,is_associated_with,petechial rash
Rocky Mountain spotted fever,is_associated_with,petechial rash
toxic shock syndrome,is_associated_with,erythroderma
necrotizing fasciitis,is_associated_with,soft tissue examination
myositis,is_associated_with,soft tissue examination
myonecrosis,is_associated_with,soft tissue examination
encephalopathy,is_associated_with,mental status
nuchal rigidity,is_associated_with,focal neurologic findings
lumbar puncture,is_used_for,CSF examination
blood cultures,are_used_for,bacterial infections
complete blood count,is_used_for,bacterial infections
serum electrolytes,is_used_for,bacterial infections
blood urea nitrogen,is_used_for,bacterial infections
serum creatinine,is_used_for,bacterial infections
serum glucose,is_used_for,bacterial infections
liver function tests,is_used_for,bacterial infections
blood lactate concentration,is_used_for,bacterial infections
buffy coat,is_used_for,parasitic infections
blood smears,are_used_for,parasitic infections
cerebrospinal fluid,is_used_for,neurologic examination
neuroimaging,is_used_for,neurologic examination
lumbar puncture,is_used_for,neurologic examination
LP,is_used_for,neurologic examination
HPV),is related to,"cancers in the head and neck
8. Epstein-Barr virus (EBV"
1. trimethoprim-sulfamethoxazole,Used to treat,urinary tract infections
2. trimethoprim-sulfamethoxazole,Used to treat,osteoporosis
3. trimethoprim-sulfamethoxazole,Has structural similarity to,PABA
4. trimethoprim-sulfamethoxazole,Produced as,sodium salts
5. trimethoprim-sulfamethoxazole,Administered via,intravenous
6. osteoporosis,Treated with,calcium supplement
7. urinary tract infections,Caused by,leukocyte esterase
8. urinary tract infections,Complicated by,ureteral obstruction
9. urinary tract infections,Treated with,trimethoprim-sulfamethoxazole
10. leukocyte esterase,Present in,urine
11. urinalysis,Used to diagnose,urinary tract infections
