Entity1,Relation,Entity2
esophagus,is_involved_in,peristaltic wave
peristaltic wave,generates,occlusive pressure
occlusive pressure,varies,mmHg
parasympathetic outflow,activates,dorsal motor nucleus
dorsal motor nucleus,is_located_in,brainstem
dorsal motor nucleus,activates,vagal preganglionic neurons
vagal preganglionic neurons,are_part_of,vagus nerve
vagus nerve,activates,postganglionic motor neurons
postganglionic motor neurons,are_part_of,GI tract
GI tract,receives,salivary secretion
GI tract,receives,gastric acid secretion
GI tract,receives,pancreatic enzyme secretion
GI tract,receives,gallbladder contraction
salivary secretion,is_mediated_by,vagus nerve
cephalic phase,is_similar_to,oral phase
nuchal rigidity,is_associated_with,sixth cranial nerve palsy
MRI,is_normal,brain
lumbar puncture,reveals,WBC
lumbar puncture,reveals,eosinophils
lumbar puncture,reveals,protein
lumbar puncture,reveals,glucose
amphotericin B,is_used_for,fungal infections
azole drugs,are_used_for,fungal infections
echinocandins,are_used_for,fungal infections
hydrochlorothiazide,is_used_for,hypertension
lisinopril,is_used_for,hypertension
amoxicillin,is_allergic,patient
amoxicillin,is_used_for,bronchitis
penicillins,share_features,cephalosporins
penicillins,share_features,monobactams
penicillins,share_features,carbapenems
penicillins,share_features,β-lactamase inhibitors
penicillins,have_structure,β-lactam ring
β-lactam ring,has_structure,thiazolidine ring
β-lactam ring,has_structure,amino group
toxic shock syndrome,is_associated_with,erythroderma
encephalopathy,is_associated_with,mental status
nuchal rigidity,is_associated_with,focal neurologic findings
cerebrospinal fluid,is_used_for,neurologic examination
neuroimaging,is_used_for,neurologic examination
lumbar puncture,is_used_for,neurologic examination
LP,is_used_for,neurologic examination
coronary arteries,AFFECTED_BY,myocardial infarction
myocardial infarction,TREATED_BY,coronary artery bypass graft
diabetes,COMPLICATED_BY,chronic kidney disease
chronic kidney disease,COMPLICATED_BY,hypertension
furosemide,CAUSED,acute kidney injury
hydrochlorothiazide,CAUSED,acute kidney injury
acute kidney injury,CAUSED_BY,fluid overload
fluid overload,CAUSED_BY,hypertension
hypertension,CAUSED_BY,heart failure
cardiac output,REDUCED_BY,coronary artery disease
coronary artery disease,CAUSED,heart failure
palpitations,CAUSED_BY,rapid heartbeat
rapid heartbeat,CAUSED_BY,catecholamines
chest discomfort,CAUSED_BY,esophageal reflux
esophageal reflux,CAUSED_BY,cervical disk disease
cervical disk disease,CAUSED_BY,arthritis of the shoulder or spine
arthritis of the shoulder or spine,CAUSED_BY,musculoskeletal disorders
musculoskeletal disorders,CAUSED_BY,gastrointestinal conditions
gastrointestinal conditions,CAUSED_BY,anxiety state
anxiety state,CAUSED,palpitations
palpitations,CAUSED_BY,catecholamines
fluid volume,AFFECTED_BY,hypertension
electrolyte composition,AFFECTED_BY,hypertension
heart failure,TREATED_BY,antihypertensive drugs
coronary artery disease,CAUSED,heart failure
hypertension,CAUSED,heart failure
heart failure,CAUSED,coronary artery disease
palpitations,CAUSED_BY,rapid heartbeat
rapid heartbeat,CAUSED_BY,catecholamines
chest discomfort,CAUSED_BY,esophageal reflux
esophageal reflux,CAUSED_BY,cervical disk disease
cervical disk disease,CAUSED_BY,arthritis of the shoulder or spine
arthritis of the shoulder or spine,CAUSED_BY,musculoskeletal disorders
musculoskeletal disorders,CAUSED_BY,gastrointestinal conditions
gastrointestinal conditions,CAUSED_BY,anxiety state
anxiety state,CAUSED,palpitations
palpitations,CAUSED_BY,catecholamines
fluid volume,AFFECTED_BY,hypertension
electrolyte composition,AFFECTED_BY,hypertension
heart failure,TREATED_BY,antihypertensive drugs
