idx,Entity
1,2methylpropane
2,AM radio
3,Abiotic factors
4,Alaska
5,Allergen
6,Alveolar fluid
7,Amalgams
8,Amino acids
9,Animal
10,Aquatic ecosystems
11,Atom
12,Atoms
13,Autotrophs
14,B horizon
15,B(OH)3
16,B2O3
17,BF3
18,Bacteria
19,Biological systems
20,Blood
21,Blood vessels
22,Bogs
23,Bohr's model
24,Bond energy
25,Bond stability
26,Bone cells
27,Borax
28,Boron
29,CC BY-NC 3.0
30,CK-12 Foundation
31,CNS
32,CO2
33,Cable transmission
34,California
35,Carbohydrate
36,Carbon
37,Cell membrane
38,Cell wall
39,Cells
40,Cellular respiration
41,Cellulose
42,Celsius
43,Chemical fertilizers
44,Chest
45,Chloroplasts
46,Circulatory systems
47,Climate
48,Collisions
49,Compounds
50,Converging mirrors
51,Core
52,Coriolis Effect
53,Covalent bond
54,Cracks
55,Crystals
56,DNA
57,Debris
58,Diploid
59,Dorsal interossei
60,ED
61,ER
62,Earth
63,Earth's atmosphere
64,Earth's surface
65,Earthquakes
66,Ecosystem
67,Ecosystems
68,Egg
69,Electromagnetic radiation
70,Electromagnetic waves
71,Electron transport chains
72,Energy
73,Enzymes
74,Epicenter
75,Equation
76,Eukarya
77,Exercise
78,Experiments
79,FDA
80,FM radio
81,Fahrenheit
82,Faraday's constant
83,Fibroblasts
84,Figure 10.24
85,Figures
86,Fingers
87,Fish
88,Florida
89,Fluid
90,Fluorine
91,Frequencies
92,Gametes
93,Gametophytes
94,Gene
95,Gene therapy
96,Generations
97,Genes
98,Glaciers
99,Glucose
100,Grasses
101,Gregor Mendel
102,Ground substance
103,HD format
104,Haploid
105,Hawaii
106,Height
107,Helium
108,Hemicelluloses
109,Here are the entities extracted from the text
110,Here are the extracted entities from the given text
111,Here's a list of extracted entities in the given text
112,High-definition
113,Human beings
114,Humans
115,Hyaluronic acid
116,Hydrochloric acid
117,Hydrogen
118,Hypothesis
119,Ice
120,Immune system
121,Innate behaviors
122,Ions
123,Kilauea
124,LadyofHats
125,Lakes
126,Life on Earth
127,Light
128,Lipids
129,Liquid water
130,Literature
131,Little finger
132,Lumbrical
133,Lungs
134,Lymphatic system
135,MA
136,Magnesium
137,Mariana Ruiz Villarreal
138,Marshes
139,Matter
140,Mercury
141,Mesothelial cells
142,Methylpropane
143,Mexico
144,Milky Way Galaxy
145,Mirrors
146,Mitochondria
147,Molecules
148,Mosses
149,Muscle
150,N2
151,NO
152,Na2B4O7⋅10H2O
153,Neighboring molecules
154,Newfoundland
155,Nitrogen
156,Nitrogen cycle
157,Noble gases
158,North America
159,Nuclear fusion
160,Nutrients
161,Observations
162,Ocean levels
163,Ordovician
164,Oxygen
165,PDE
166,Pa
167,Palmar interossei
168,Parietal pleurae
169,Pathogenic bacteria
170,Pectic polysaccharides
171,Phase changes
172,Phosphorus
173,Photosynthesis
174,Pioneer species
175,Plant
176,Plasma
177,Pleural cavity
178,Pneumonia
179,Polar Regions
180,Polysaccharides
181,Pores
182,Pressure
183,Protactinium
184,Protein
185,Proteins
186,Proteoglycan
187,Protists
188,Purity
189,Radio sources
190,Rayleigh waves
191,Receptors
192,Reflex behaviors
193,Satellite dishes
194,Science
195,Seismic waves
196,Shrubs
197,Silicon
198,Skin cells
199,Sodium
200,Sodium chloride
201,Soil
202,Solar system
203,Solid water
204,Species
205,Sperm
206,Spores
207,Sporophytes
208,Sulfur
209,Sun
210,Surface waves
211,Swamps
212,Swim bladder
213,Sympatric speciation
214,Tanya
215,Telephones
