Entity1,Relation,Entity2
Boron,Constitutes,Earth's crust
Boron,Occurs in,Compounds with oxygen
Boron,Distributed in,Volcanic regions
Boron,Distributed in,Dry lake regions
Boron,Reacts with,Fluorine
Boron,Reacts with,Oxygen
Boron,Forms,Boron trifluoride
Boron,Forms,Boric oxide
Boron,Reacts with,Magnesium
Boron,Forms,Boron (95–98.5% pure
Boron,Reacts with,Hydrochloric acid
Boron,Forms,Boric acid
Boric acid,Forms,B(OH
Boric oxide,Reacts with,Magnesium powder
Boric oxide,Forms,Boron
Boron trichloride,Reacts with,Hydrogen
Boron trichloride,Forms,Boron
Boric acid,Forms,B(OH
Boron,Is a component of,Borax
Boron,Is a component of,Na2B4O7⋅10H2O
Boron,Is a component of,BF3
Boron,Is a component of,B2O3
Boron,Reacts with,Tellurium
Boron,Does not react with,Noble gases
Boron,Reacts with,Nitric acid
Boron,Reacts with,Sulfuric acid
Boron,Does not react with,Nonoxidizing acids
Boron compounds,React with,Water
Boron compounds,Form,B(OH
Boron,Is a component of,Chemical fertilizers
Wetlands,Slow down,Runoff
Wetlands,Filter,Runoff
Wetlands,Provide,Breeding grounds
Intrinsic muscles,Allow,Precise movements
Intrinsic muscles,Originate,Hand
Intrinsic muscles,Insert,Hand
Thenar muscles,Act on,Thumb
Hypothenar muscles,Act on,Little finger
Intermediate muscles,Act on,Fingers
Lumbrical,Act on,Fingers
Palmar interossei,Act on,Fingers
Dorsal interossei,Act on,Fingers
Testing a hypothesis,Requires,Observations
Testing a hypothesis,Requires,Experiments
Covalent bond,Produces,Molecule's electron system
Covalent bond,Is stronger than,Van der Waals interactions
Covalent bond,Takes more energy to break,Van der Waals interactions
Covalent bond,Is more stable,Unbounded form
Covalent bond,May not withstand,Energy delivered through collisions
Bond energy,Refers to,Energy needed to break a bond
Molecule,Is stable if,Bond energies are high enough
Molecule,Has a van der Waals surface,Covalent bond
Van der Waals surface,Merges,Atoms in a covalent bond
Atoms,Form a covalent bond,Van der Waals surface
2methylpropane,Has a van der Waals surface,Covalent bond
Molecules,Have distinct properties,Atoms from which they are composed
Molecule,Has properties based on,Shape
