idx,Entity
1,0.05%
2,0.61%
3,000 km
4,013
5,1
6,10
7,10.5 cm FlaK 38
8,104
9,104-year-old Football League
10,1183
11,14.03%
12,140 pages
13,15
14,15 million
15,15.55%
16,1591
17,1652
18,17
19,1795
20,17th Street
21,17th-century philosophy
22,1806
23,1811
24,1815
25,1816
26,1817
27,1820
28,1830s
29,1831
30,1840s
31,1844 Room
32,1848
33,1852
34,1854
35,1855 Room
36,1857
37,1860
38,1861
39,1866
40,1869
41,1872
42,1876
43,1877-78
44,1880s
45,1889
46,18th century
47,1918
48,1920s
49,1925
50,1926
51,1927
52,1929
53,1937
54,1950
55,1956
56,1960
57,1960s
58,1964
59,1965
60,1969
61,1972
62,1978
63,1981
64,1982
65,1992
66,19th century
67,20
68,2000
69,2002
70,2007
71,2008-2009
72,2009
73,2010
74,2013
75,2014
76,20th Street
77,20th century
78,21st Street
79,21st century
80,22nd Street
81,24 rue de Sèvres
82,25 November 1969
83,26.65%
84,27 May
85,3
86,3 October
87,30 July
88,30.45%
89,304–11
90,36
91,37
92,38.29%
93,39
94,3G
95,4 million
96,4.82%
97,40°48′52″N
98,421.2
99,4G
100,500 mile
101,504
102,558
103,55th Annual Grammy Awards
104,6%
105,66 Portland Place
106,680.8
107,719.0
108,73°56′53″W
109,75%
110,79th Street Causeway
111,8
112,8.8 cm FlaK 18
113,802.3af
114,85%
115,862.2
116,9%
117,910
118,A. C. Gilbert Company
119,A. Carl Prince
120,A.J. Ayer
121,AA No 1 Mk 1 GL radar
122,AA guns
123,AAA
124,AGi32
125,AIDS
126,ANZUS Pact
127,Aberdeen
128,Abraham Lincoln
129,Abyssinians
130,Academia de San Carlos
131,Acadia
132,Actinobacteria
133,Adobe
134,Adventists
135,Afar Triangle
136,Afghanistan
137,Africa
138,African Arabs
139,African Union
140,Afrikaner
141,Age of Reason
142,Agrobacterium tumefaciens
143,Alan Hodgkin
144,Albert
145,Aldus PageMaker
146,Alexander Ellis
147,Alexandria
148,Alfonso III
149,Alfred Adler
150,Alfred Bertheim
151,Allied Expeditionary Force
152,Allied powers
153,Alphaproteobacteria
154,Alsace
155,America
156,American
157,American Anthropological Association
158,American Medical Association
159,American University of Armenia
160,American comics
161,American creation–evolution controversy
162,American football
163,American national anthem
164,Americo-Liberian
165,Americo-Liberians
166,Ammon
167,An Lushan Rebellion
168,Andaman and Nicobar Islands
169,Andhra Pradesh
170,Andrew Huxley
171,Andrew Johnson
172,Annan Plan
173,Antarctica
174,Anthropologists
175,Antibacterial
176,Antonín Dvořák
177,António Costa
178,Aníbal Cavaco Silva
179,Aphrodite
180,Apology by Dr Rowan Williams to British Freemasons
181,Apple
182,April
183,April 1855
184,April 2015
185,Aquitaine
186,Arab League
187,Arabic
188,Archbishop Geoffrey Fisher
189,Argentina
190,Aristide Boucicaut
191,Armada Way
192,Armed Forces
193,Armenia
194,Armenian General Benevolent Union
195,Armenians
196,Arsenal
197,Arsenal of America
198,Art & Architecture Building
199,Asa Gray
200,Asia
201,Asian
202,Assembly of the Republic
203,Asset Management
204,Association of Namibian Travel Agents
205,Asturias
206,Athens
207,Atlantic
208,Atlantic Ocean
209,Atticus
210,Au Bon Marché
211,August
212,August 2013
213,Australia
214,Australian Democrats
215,Austria-Hungary
216,Austro-Asiatic
217,Automatic revolver
218,Avenue C
219,Avicenna
220,Avicenna Directories
221,Axis
222,B. brevis
223,BC
224,Bacteroidetes
225,Baden-Württemberg
226,Baffin Islands
227,Bal Harbour
228,Barcelona
229,Base region
230,Battle of Carrhae
231,Battle of Karameh
232,Beijing
233,Bengali
234,Benjamin Franklin
235,Benzedrine Inhaler
236,Berlin
237,Bernard Katz
238,Beth Israel Medical Center
239,Beyoncé
240,Biblioteca Pública de Uruguay
241,Billboard
242,Billboard 200
243,Bipolar transistors
244,Biscayne Bay
245,Bismillah
246,Black Sea
247,Black or African American
248,Blitz
249,Blowpipe missile
250,Blue Ivy
251,Boer
252,Boers
253,Bofors
254,Bolte government
255,Book of Mormon
256,Bosnia-Herzegovina
257,Boston Software
258,Bow Room
259,Brandenburg
260,Brazil
261,Brazzaville
262,Brickell
