idx,Entity
1,US military
2, Anthropologists
3, US Army
4, Afghanistan
5, Iraq
6, Christian Science Monitor
7, Human Terrain System (HTS)
8, American Anthropological Association
9, Commission on the Engagement of Anthropology with the US Security and Intelligence Communities
10, CEAUSSIC
11, AAA
12, DoD
13, General-in-Chief He Jin
14, Empress He
15, Yuan Shao
16, He Miao
17, He Jin
18, Emperor Shao
19, Liu Xie
20, Emperor Xian of Han
21, Zhang Rang
22, IEEE
23, 802.3af
24, Power over Ethernet (PoE)
25, USB
26, Yellow River
27, VoIP telephones
28, security cameras
29, wireless access points
30, French Equatorial Africa
31, Ubangi-Shari
32, Brazzaville
33, Congo-Ocean Railway
34, Ubangians
35, Congo
36, Tamagotchis
37, Digimon
38, Tyrannomon
39, Kenji Watanabe
40, X-Antibody
41, Japan
42, American comics
43, Senate
44, cosmos
45, public priests
46, augurs
47, haruspices
48, BC
49,"Here are the extracted entities in the required format:

Punic Wars"
50, Senate
51, Greece
52, Mycenaean civilization
53, Classical period
54, Roman period
55, Eastern Roman period
56, Christianity
57, Ottoman Greeks
58, Diafotismos
59, batons
60, tear gas
61, riot control agents
62, rubber bullets
63, riot shields
64, water cannons
65, electroshock weapons
66, handcuffs
67, Brazil
68, Jacob Zuma
69, South Africa
70, PlayStation Store
71, Sony
72, PlayStation 3
73, PlayStation Portable
74, PlayStation Network
75, XMB
76, Media Go
77, September 2009
78, Tidewater glaciers
79, Greenland
80, Antarctica
81, Baffin Islands
82, Ellesmere Islands
83, Canada
84, Southeast Alaska
85, Patagonian Ice Fields
86, Hernando de Soto
87, Tristan de Luna
88, Juan Pardo
89, Tennessee
90, Muscogee people
91, Yuchi people
92, Virginia
93, Cherokee
94, Southampton
95, Southampton Water
96, Test river
97, Itchen river
98, Napoleon
99, Smolensk
100, Russia
101,"Here are the extracted entities concatenated with commas:

Molotov"
102, Germany
103, Hitler
104, Soviet Union
105," ""Crazy in Love"""
106, VH1
107, NME
108, Rolling Stone
109, Grammy Awards
110, YouTube
111, Toronto Star
112," ""Single Ladies (Put a Ring on It)"""
113, Drake
114, Beyoncé
115, Destiny Child
116," ""Say My Name"""
117, Bryan Lessard
118, Scaptia beyonceae
119, Northern Queensland
120, Australia
121, Rock and Roll Hall of Fame
122, United States
123, United States Constitution
124, Congress
125, Senate
126, executive branch
127, federal judiciary
128, United States Code
129, Hyderabad
130, Telugu
131, Urdu
132, Bengali
133, Gujarati
134, Kannada
135, Malayalam
136, Marathi
137, Marwari
138, Odia
139, Punjabi
140, Tamil
141, Uttar Pradeshi
142, Hyderabadi Urdu
143, Dakhini
144, Hyderabadi Muslims
145, Hadhrami Arabs
146, African Arabs
147, Armenians
148, Abyssinians
149, Iranians
150, Pathans
151, Turkish people
152, Saint Barthélemy
153, Gustavia
154, Caribbean
155, Guadeloupe
156, Napoleonic Wars
157, Sweden
158, Three Crowns
159, Guadeloupe
160, French
161, Madonna
162, Pepsi
163, Christmas
164, new year
165, Like a Prayer
166, Patrick Leonard
167, Stephen Bray
168, Vatican
169, Catholic
170, Patrick Leonard
171, Stephen Bray
172, Rolling Stone.
173,Here's the list of entities extracted from the text
174," concatenated with commas:

Like a Prayer"
175, Billboard 200
176, U.S.
177, 15 million
178, 4 million
179, Six
180, Like a Prayer
181, Express Yourself
182, Cherish
183, Madonna
184, MTV
185, Billboard
186, Musician
187, Estonia
188, 75%
189, 85%
190, oil shale
191, wood
192, peat
193, biomass
194, 9%
195, primary energy production
196, renewable wind energy
197, 6%
198, 2009
199, western Europe
200, Russia
201, oil shale energy
202, telecommunications
203, textiles
204, chemical products
205, banking
206, services
207, food
208, fishing
209, timber
210, shipbuilding
211, electronics
212, transportation
213, Muuga
214, Tallinn
215, ice-free port
216, grain elevator
217, chill/frozen storage
218, oil tanker
219, 2010
220, United States Census
221, 39
222,558
223, 15
224,504
225, 8
226,558
227, 3
228,680.8
229, 1
230,421.2
231, 20
232,013
233, 1
234,862.2
235, 719.0
236, White
237, Black or African American
238, Native American
239, Asian
240, Pacific Islander
241, 26.65%
242, 38.29%
243, 0.61%
244, 15.55%
245, 0.05%
246, 14.03%
247, 4.82%
248, 30.45%
249, Seoul
250, South Korean
251, American
252, KPA
253, tanks
254, artillery
255, North Korean
256, Pyongyang
257, Stalin
258, Politburo
259, Soviet
260, Rene Dubos
261, B. brevis
262, tyrothricin
263, gramicidin
264, tyrocidine
265, World War II
266, Axis
267, Allied powers
268, Somalia
269, Hormuud Telecom
270, Liquid Telecom
271, broadband internet cable
272, 17
273,000 km
274, 10
275,500 mile
276, fiber optic connection
277, West Indian Ocean Cable Company
278, WIOCC
279, EASSy cable
280, Dalkom Somalia
281, Mogadishu
282, data center
283, RIBA Insight
284, RIBA Appointments
285, RIBA Publishing
286, RIBA Product Selector
287, RIBA Journal
288,Here are the extracted entities from the text
289," concatenated with commas:

RIBA"
290, RIBA Product Selector
291, RIBA Journal
292, NBS
293, National Building Specification
294, RIBA Enterprises
295, Newcastle
296, 66 Portland Place
297, European Formula One Grand Prix
298, Valencia Street Circuit
299, Barcelona
300, Porto
301, Monte Carlo
302, Formula One World Championship
303, Ferrari
304, Fernando Alonso
305, Valencian Community
306, Gran Premi de la Comunitat Valenciana de motociclisme
307, Circuit Ricardo Tormo
308, Circuit de Valencia
309, Deutsche Tourenwagen Masters
310, DTM
311, Wall Street
312, Great Depression
313, The Great Depression
314, Wall Street Crash
315, 1929
316, The Wall Street Crash
317, 20th century
318, 21st century
319, RIBA Bookshops
320, European cities
321, Grand Prix motorcycle racing season
322, Great Depression
323, Worldwide
324, Wall Street
325, The Wall Street Crash
326, 1929
327, The Great Depression
328, The Wall Street Crash
329, 20th century
330, 21st century
331, professional wrestling
332, Noble Eightfold Path
333, Buddha
334, Buddha's Noble Truths
335, Right View
336, Right Intention
337, Right Speech
338, Right Action
339, Right Livelihood
340, Right Effort
341, Right Mindfulness
342, Right Concentration
343, Constitution of Canada
344, Canada
345, federal government
346, national defence
347, CAD
348, fiscal year
349, 2008-2009
350, defence spending
351, Circuit Ricardo Tormo
352, Circuit de Valencia
353, Canadian Army
354, Royal Canadian Air Force
355, Royal Canadian Navy
356, Hellenization
357, Greeks
358, Mediterranean
359, social class
360, Greco-Macedonian elites
361, Royal families
362, Cleopatra VII
363, Ptolemaic ruler
364, Egyptian language
365, USA PATRIOT Act
366, October 2001
367, law enforcement agencies
368, telephone
369, e-mail communications
370, medical records
371, financial records
372, foreign intelligence gathering
373, Secretary of the Treasury
374, financial transactions
375, foreign individuals
376, entities
377, law enforcement authorities
378, immigration authorities
379, terrorism
380, domestic terrorism
381, Terrorist Finance Tracking Program
382, The New York Times
383, NSA
384, electronic surveillance program
385, Global telecommunication usage
386, Armenia
387, American University of Armenia
388, QSI International School of Yerevan
389, Government of Armenia
390, Armenian General Benevolent Union
391, Business
392, Law
393, Government of Armenia
394," 

However"
395, after removing duplicates
396," the list of entities is:

RIBA"
397, RIBA Product Selector
398, RIBA Journal
399, NBS
400, National Building Specification
401, RIBA Enterprises
402, Newcastle
403, 66 Portland Place
404, European Formula One Grand Prix
405, Valencia Street Circuit
406, Barcelona
407, Porto
408, Monte Carlo
409, Formula One World Championship
410, Ferrari
411, Fernando Alonso
412, Valencian Community
413, Gran Premi de la Comunitat Valenciana de motociclisme
414, Circuit Ricardo Tormo
415, Circuit de Valencia
416, Deutsche Tourenwagen Masters
417, DTM
418, Wall Street
419, Great Depression
420, Wall Street Crash
421, 1929
422, 20th century
423, 21st century
