idx,Entity
7,Adam
8,Alice
9,Amy
11,Ann
12,Anna
13,Anne
15,Arnold
17,Bill
18,Billy
19,Bob
20,Carl
21,Charlie
22,Cooper
23,Frank
24,Fred
26,George
44,Jackson
45,Jane
46,Jim
48,Joan
49,Joe
50,John
52,Kamtchatka
54,Kevin
55,Laputa
56,Lucy
57,Mark
58,Martin
59,Mary
60,Paul
61,Pete
62,Ray
64,Sally
65,Sam
66,Sara
68,Sid
69,Steve
70,Sue
71,Susan
90,Thomson
92,Tina
94,Tom
95,Yakutsk
103,ankles
104,announcement
105,article
109,auditorium
112,backpack
115,bill
116,book
117,bookcase
123,cake
125,carrot
127,chair
128,chairs
131,chickens
133,cloud
134,coffee
141,concert
145,crutches
146,customer
147,daughter
150,demonstrators
152,dog
154,doorway
156,drain
157,drawer
158,drug trade
163,example
164,firemen
165,flag
166,flute
168,gang members
169,gap
170,garden
171,golfers
172,gratitude
173,hair
174,help
178,house
188,knife
189,lake
191,lawyer
192,library
194,living room
196,man
198,meeting
199,morning
201,newsletter
202,newspaper
205,oak tree
212,opponents
215,painting
217,park
220,path
222,pen
224,permit
226,piano
227,picnic
229,pillar
230,pin
232,police
242,question
243,rag
244,rain
245,refrigerator
252,roof
260,shark
261,sheep
262,shepherds
263,sidewalk
271,sponsors
273,stage
277,subway
278,suitcase
279,sun
280,table
282,teller
369,time
372,town hall
373,train
375,tree
376,trophy
379,wall
380,watermelons
382,wind
383,witness
