idx,Entity
1,Adam
2,Alice
3,Amy
5,Ann
9,Anna
10,Anne
12,Arnold
15,Billy
16,Bob
17,Carl
18,Charlie
19,Cooper
27,Fred
28,George
48,Jane
49,Jim
50,Joan
51,Joe
55,John
56,Kamtchatka
58,Kevin
59,Laputa
60,Lucy
61,Mark
62,Martin
63,Mary
67,Paul
68,Pete
69,Ray
71,Sally
72,Sam
73,Sara
76,Sid
77,Steve
78,Sue
79,Susan
81,TV
82,Terpsichore
100,Thomson
101,Thursday
103,Tina
104,Tom
105,Yakutsk
111,age
112,ankles
113,announcement
114,army
115,article
117,auditorium
118,backpack
123,bill
124,book
126,bottle
131,cake
133,carrot
134,chair
135,chairs
136,chickens
137,chocolate chip cookies
139,city
141,coffee
149,concert
155,cookies
157,crutches
158,cup
159,customer
162,demonstrators
164,dishwasher
166,dog
167,doorway
169,drawer
175,eyes
178,father
181,firemen
183,flute
184,friend
190,groceries
193,help
198,hole
199,home
200,hour
201,house
205,infant
207,ink
213,it
216,knife
218,lake
220,lawyer
221,library
229,man
233,members
235,mind
238,newsletter
239,newspaper
241,oatmeal cookies
244,older
246,opponents
250,park
252,pen
255,people
256,permit
260,piano
263,pillar
264,pin
265,police
277,question
279,rag
280,rain
283,refrigerator
290,roof
292,sand
300,show
303,sidewalk
310,sponsors
311,spoon
312,stage
318,subway
319,suitcase
320,table
322,teller
323,tennis
442,theory
444,town hall
445,tree
446,trophy
448,uncle
451,war
452,water
453,watermelons
454,wind
455,witness
