Entity1,Relation,Entity2
city councilmen,authority,demonstrators
city councilmen,position,authority
demonstrators,request,permit
city councilmen,decision,permit
demonstrators,action,permit
city councilmen,action,permit
demonstrators,issue,permit
city councilmen,responsibility,permit
city councilmen,decision,regulations
demonstrators,protest,issue
city councilmen,responsibility,public event
demonstrators,request,public event
city councilmen,action,public event
trophy,size,suitcase
suitcase,comparison,trophy
trophy,object,suitcase
Joan,gratitude,Susan
Joan,action,Susan
Susan,help,Joan
Paul,attempt,George
Paul,action,George
George,unavailability,Paul
Paul,failure,George
lawyer,question,witness
witness,reluctance,question
lawyer,action,question
witness,response,question
lawyer,responsibility,question
witness,responsibility,question
George,reluctance,question
Paul,action,attempt
Paul,outcome,George
Paul,causal relationship,George
George,unavailability,Paul
Joan,action,thank
Susan,object,Joan
Susan,help,Joan
lawyer,action,question
witness,response,question
witness,reluctance,question
lawyer,responsibility,question
witness,responsibility,question
Frank,rival,Bill
Frank,winner,Bill
Frank,familiar with,Bill
Frank,weak,The man
Frank,lifted by,The man
Frank,son,The man
Frank,son,The man
Frank,father of,The man's son
Bill,rival of,Frank
Bill,winner of,The competition
The man,parent of,his son
The man,weak,The man
The man,lifted his son,his son
The man,son of,Frank
The large ball,crashed through,The table
The large ball,made of,steel
The large ball,crashed through,The table
The delivery truck,overtook,The school bus
The delivery truck,passed,The school bus
The school bus,was passed by,The delivery truck
The delivery truck,moved quickly,The school bus
The man,son of,Frank
Billy,obstructs,John
John,is obstructed by,Billy
Tom,threw,schoolbag
Tom,threw to,Ray
Tom,reached,top of the stairs
Ray,received,schoolbag
Sue,beat,Sally
Sue,had,good start
Sue,won,Sally
Sue,was better than,Sally
Sally,had,bad start
The sculpture,rolled,off the shelf
The sculpture,was not anchored,by The shelf
The sculpture,rolled,because of The shelf
The shelf,was not level,causing The sculpture to roll
Sam,created,an arrangement
Sam's drawing,was hung,above Tina's drawing
Tina's drawing,was hung,below Sam's drawing
Sam,created,Sam's drawing
Tina,created,Tina's drawing
Anna,studied,Anna's better performance
Lucy,studied,Lucy's better performance
Anna,is a friend,Lucy
Tina,"is not explicitly related to any other entities in the text)
- (Frank","sold, Tom, a toaster"
Frank,is upset about,"Tom, a toaster"
Jim,yelled at,Kevin
Jim,comforted,Kevin
The firemen,arrived after,The police
The police,arrived first,The scene
The firemen,are the primary responders,The scene
The police,are not the primary responders,The scene
Sam,"is not explicitly related to any other entities in the text)
- (Tina",is not explicitly related to any other entities in the text
Kevin,"is not explicitly related to any other entities in the text)
- (Frank",is not explicitly related to any other entities in the text
Jim,"is not explicitly related to any other entities in the text)
- (Lucy",is not explicitly related to any other entities in the text
Kevin,is being comforted by,Jim
Pete,envies,Martin
